Characteristic,Value
All split-preserving relation units reviewed,836
Construction-graph relations,225
Accepted held-out relations kept isolated,136
Draft-context relations kept isolated,7
Excluded or revision-pending relations,468
Unique entities in construction graph,34
Predicate types,10
Unique supporting source identifiers,5945
Primary evidence layer N2,6
Primary evidence layer E1,99
Primary evidence layer E2,113
Primary evidence layer E3,7
Replication class: 1 source,42
Replication class: 2-4 sources,60
Replication class: >=5 sources,123
