Metric or scenario,Result
Simple-projection nodes / edges,34 / 141
Connected components / largest-component fraction,1 / 1.000
Density,0.2513
Transitivity,0.3862
Average clustering,0.4905
Degree assortativity,-0.4080
Global efficiency,0.6138
Communities / unweighted modularity,5 / 0.1564
Evidence-weighted modularity,0.1096
AKI degree / betweenness,25 / 0.2558
Mortality degree / betweenness,23 / 0.2372
Null transitivity: observed / mean / z / two-sided p,0.3862 / 0.4270 / -2.85 / 0.012
Null degree assortativity: observed / mean / z / two-sided p,-0.4080 / -0.3392 / -2.27 / 0.032
Null global efficiency: observed / mean / z / two-sided p,0.6138 / 0.6063 / 1.43 / 0.016
Remove Single Source Relations,108 edges; LCC 34/34; efficiency 0.578
Remove Primary Layer E1,96 edges; LCC 32/34; efficiency 0.485
Remove Primary Layer E2,67 edges; LCC 32/34; efficiency 0.452
