node,label,degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,directed_in_degree,directed_out_degree,evidence_weighted_degree,evidence_weighted_pagerank,unique_incident_sources
condition:acute_kidney_injury,acute kidney injury,25,0.7575757575757576,0.2557556195098261,0.8048780487804879,0.3418286307234708,42,24,696.3452205016534,0.1690129238754364,5215
outcome:mortality,mortality,23,0.696969696969697,0.2371898939569336,0.7674418604651163,0.3063577921066359,39,0,392.4000729914909,0.1794562225435683,4295
condition:sepsis,sepsis,18,0.5454545454545454,0.0778062204741683,0.6875,0.2855957384950153,11,14,144.3942879452905,0.0380276095312191,774
stage:severe_acute_kidney_injury,severe acute kidney injury,17,0.5151515151515151,0.0466461660708819,0.6470588235294118,0.2778701813675452,24,6,94.40047208568257,0.0377172590469674,106
measurement:serum_creatinine,serum creatinine,15,0.4545454545454546,0.0391113680180502,0.6470588235294118,0.2642752472473773,8,17,132.2046812608493,0.0279421368286538,554
condition:acute_kidney_disease,acute kidney disease,14,0.4242424242424242,0.0208278391468046,0.6346153846153846,0.2619370148717599,12,11,74.65724295720221,0.0297592876259601,80
outcome:length_of_stay,length of stay,14,0.4242424242424242,0.0445972769248631,0.6111111111111112,0.2237164037223404,19,0,67.97699696197019,0.0522937009868519,294
condition:chronic_kidney_disease,chronic kidney disease,13,0.3939393939393939,0.0166107143129201,0.6226415094339622,0.247637857364542,20,10,214.98425753452665,0.0762572975300291,1669
biomarker:ngal,NGAL,11,0.3333333333333333,0.0158324197307463,0.6,0.2158136691857579,0,20,117.8418458762782,0.0113350076161302,336
measurement:estimated_glomerular_filtration_rate,estimated glomerular filtration rate,10,0.303030303030303,0.0127223099983795,0.5892857142857143,0.1859540177964194,7,5,68.3148723771263,0.0250625413845957,168
biomarker:kim_1,KIM-1,10,0.303030303030303,0.0139196912555178,0.5892857142857143,0.1943469718744373,0,14,61.4540984947884,0.0113350076161302,93
outcome:kidney_recovery,kidney recovery,10,0.303030303030303,0.0198540464165464,0.515625,0.1416346529679938,11,0,35.644832902063605,0.0271532747512145,34
measurement:urine_output,urine output,8,0.2424242424242424,0.0074011616576271,0.5689655172413793,0.1675413960420083,5,10,79.61812507748385,0.0243230593293005,161
clinical_context:cardiac_surgery,cardiac surgery,8,0.2424242424242424,0.0081561693777602,0.5689655172413793,0.1639863804585226,3,8,79.07326882463612,0.0193507427529956,327
clinical_context:intensive_care,intensive care,8,0.2424242424242424,0.0085768497971873,0.55,0.1395371223303717,6,4,64.73875836684718,0.0259011970251417,313
outcome:persistent_acute_kidney_injury,persistent acute kidney injury,8,0.2424242424242424,0.0113618222454429,0.515625,0.129725584511599,9,0,14.909439898728,0.0180259102886023,13
biomarker:cystatin_c,cystatin C,6,0.1818181818181818,0.0029782896701,0.55,0.138989882494593,0,12,64.03656689488113,0.0113350076161302,96
population:children,children,6,0.1818181818181818,0.0041148088023088,0.5238095238095238,0.1119563435675038,0,7,40.303730938510085,0.0113350076161302,111
stage:stage_1_acute_kidney_injury,stage 1 acute kidney injury,6,0.1818181818181818,0.0032123238750393,0.55,0.1312648688041832,1,6,16.697075650772195,0.0118326129632855,19
population:adults,adults,6,0.1818181818181818,0.0012964466089466,0.5409836065573771,0.1314703678544176,0,6,15.237943965700037,0.0113350076161302,26
stage:stage_3_acute_kidney_injury,stage 3 acute kidney injury,6,0.1818181818181818,0.004264667923073,0.5238095238095238,0.1057469301539035,4,2,10.632773779711949,0.0129241714539314,10
exposure:mechanical_ventilation,mechanical ventilation,5,0.1515151515151515,0.0013528138528138,0.532258064516129,0.1162697390156448,0,7,56.5645009273177,0.0113350076161302,200
population:critically_ill_patients,critically ill patients,5,0.1515151515151515,0.0091657054947813,0.515625,0.0741581485828714,1,4,27.48502658808068,0.0261597298972864,197
exposure:nephrotoxin_exposure,nephrotoxin exposure,5,0.1515151515151515,0.0006839225589225,0.5409836065573771,0.1188760693220225,0,5,15.764847970095367,0.0113350076161302,33
exposure:fluid_overload,fluid overload,4,0.1212121212121212,0.0028139752404458,0.5238095238095238,0.0861899124630189,0,6,48.12825300961355,0.0113350076161302,135
biomarker:timp_2_igfbp7,TIMP-2×IGFBP7,4,0.1212121212121212,0.0025132599081952,0.5238095238095238,0.0918745887312372,0,8,42.505379867483256,0.0113350076161302,80
exposure:contrast_media,contrast media,3,0.0909090909090909,0.0,0.5076923076923077,0.0717776742918701,0,5,36.56653142759055,0.0113350076161302,76
exposure:cardiopulmonary_bypass,cardiopulmonary bypass,3,0.0909090909090909,0.0,0.4852941176470588,0.0662663518260003,0,4,25.05129786333585,0.0113350076161302,67
therapy:kidney_replacement_therapy,kidney replacement therapy,3,0.0909090909090909,0.0024463383838383,0.5076923076923077,0.0603712390610341,3,1,15.484804043631565,0.017440200326876,5
population:neonates,neonates,3,0.0909090909090909,0.0,0.4925373134328358,0.0779005558944975,0,3,12.080509422554828,0.0113350076161302,32
criterion:kdigo_acute_kidney_injury_criteria,KDIGO acute kidney injury criteria,2,0.0606060606060606,0.0,0.4714285714285714,0.0486650669147688,0,3,16.155612991118264,0.0113350076161302,51
criterion:oliguria_criterion,oliguria criterion,1,0.0303030303030303,0.0,0.4520547945205479,0.0294143107596276,0,1,6.907755278982138,0.0113350076161302,9
intervention:balanced_crystalloid,balanced crystalloid,1,0.0303030303030303,0.0,0.44,0.026361994646774,0,1,5.375278407684165,0.0113350076161302,5
stage:stage_2_acute_kidney_injury,stage 2 acute kidney injury,1,0.0303030303030303,0.0,0.44,0.026361994646774,0,1,2.19722457733622,0.0113350076161302,2
