strategy,metric,auc_0_to_1
articulation,evidence_weight_retained_fraction,0.0689159273657839
articulation,global_efficiency,0.1122794118821516
articulation,largest_component_fraction_of_original,0.236159169550173
betweenness,evidence_weight_retained_fraction,0.0649801766031127
betweenness,global_efficiency,0.1144881902011542
betweenness,largest_component_fraction_of_original,0.2465397923875432
degree,evidence_weight_retained_fraction,0.0617524399063799
degree,global_efficiency,0.1133712232776318
degree,largest_component_fraction_of_original,0.245674740484429
random,evidence_weight_retained_fraction,0.3307282986985193
random,global_efficiency,0.4825488680987495
random,largest_component_fraction_of_original,0.4687716262975778
