method,group_type,group_value,n_queries,n_relations,metric,estimate,ci_95_lower,ci_95_upper
bm25,overall,all,408,136,any_source_hit_at_5,0.2083333333333333,0.1617647058823529,0.2598039215686274
bm25,overall,all,408,136,mrr,0.1498797130419877,0.1203787358687564,0.1813282790954779
bm25,query_set,canonical,136,136,any_source_hit_at_5,0.2573529411764705,0.1911764705882352,0.3308823529411764
bm25,query_set,canonical,136,136,mrr,0.1801218562734923,0.1335176505274494,0.2325243469822975
bm25,query_set,contextualized,136,136,any_source_hit_at_5,0.1911764705882352,0.125,0.2573529411764705
bm25,query_set,contextualized,136,136,mrr,0.1556519478699229,0.1142205074688737,0.2010606842531228
bm25,query_set,paraphrased,136,136,any_source_hit_at_5,0.1764705882352941,0.1102941176470588,0.2426470588235294
bm25,query_set,paraphrased,136,136,mrr,0.1138653349825479,0.0796490432999109,0.1530676464628607
bm25,novelty,seen_sro_new_sources,255,85,any_source_hit_at_5,0.2196078431372548,0.1647058823529411,0.2784313725490196
bm25,novelty,seen_sro_new_sources,255,85,mrr,0.1523949473597479,0.1180452784418319,0.1894671349591075
bm25,novelty,strict_novel_sro,153,51,any_source_hit_at_5,0.1895424836601307,0.1045751633986928,0.2810457516339869
bm25,novelty,strict_novel_sro,153,51,mrr,0.1456876558457207,0.0946182203187267,0.2022079229933381
minilm_dense,overall,all,408,136,any_source_hit_at_5,0.1348039215686274,0.0906862745098039,0.1838235294117647
minilm_dense,overall,all,408,136,mrr,0.1069887602808917,0.0749905144471039,0.1432971990210487
minilm_dense,query_set,canonical,136,136,any_source_hit_at_5,0.1544117647058823,0.0955882352941176,0.213235294117647
minilm_dense,query_set,canonical,136,136,mrr,0.124657275798085,0.0826187198692177,0.1704178127530347
minilm_dense,query_set,contextualized,136,136,any_source_hit_at_5,0.1176470588235294,0.0661764705882353,0.1764705882352941
minilm_dense,query_set,contextualized,136,136,mrr,0.0916301250288672,0.0581471763146959,0.1305764711757875
minilm_dense,query_set,paraphrased,136,136,any_source_hit_at_5,0.1323529411764706,0.0808823529411764,0.1911764705882352
minilm_dense,query_set,paraphrased,136,136,mrr,0.1046788800157229,0.0679359151550668,0.1478489865873497
minilm_dense,novelty,seen_sro_new_sources,255,85,any_source_hit_at_5,0.1450980392156862,0.0901960784313725,0.2039215686274509
minilm_dense,novelty,seen_sro_new_sources,255,85,mrr,0.1019559214904978,0.0707466130150992,0.1387860595062185
minilm_dense,novelty,strict_novel_sro,153,51,any_source_hit_at_5,0.1176470588235294,0.0457516339869281,0.2091503267973856
minilm_dense,novelty,strict_novel_sro,153,51,mrr,0.1153768249315482,0.0524455607128797,0.1908247511221348
bm25_minilm_rrf,overall,all,408,136,any_source_hit_at_5,0.2401960784313724,0.1862745098039215,0.2965686274509803
bm25_minilm_rrf,overall,all,408,136,mrr,0.1660519990058435,0.1307407742966682,0.2050763655199504
bm25_minilm_rrf,query_set,canonical,136,136,any_source_hit_at_5,0.3235294117647059,0.2426470588235294,0.4044117647058823
bm25_minilm_rrf,query_set,canonical,136,136,mrr,0.1828179010156927,0.1389003607598262,0.2297755403651709
bm25_minilm_rrf,query_set,contextualized,136,136,any_source_hit_at_5,0.2058823529411764,0.1397058823529411,0.2720588235294117
bm25_minilm_rrf,query_set,contextualized,136,136,mrr,0.1614853761358552,0.117494312112679,0.2113122954834836
bm25_minilm_rrf,query_set,paraphrased,136,136,any_source_hit_at_5,0.1911764705882352,0.125,0.2573529411764705
bm25_minilm_rrf,query_set,paraphrased,136,136,mrr,0.1538527198659826,0.1073889157933862,0.2049712263073642
bm25_minilm_rrf,novelty,seen_sro_new_sources,255,85,any_source_hit_at_5,0.2627450980392157,0.196078431372549,0.3333333333333332
bm25_minilm_rrf,novelty,seen_sro_new_sources,255,85,mrr,0.1795468191083788,0.1385188393161895,0.2243051682077834
bm25_minilm_rrf,novelty,strict_novel_sro,153,51,any_source_hit_at_5,0.2026143790849673,0.1176470588235294,0.3006535947712418
bm25_minilm_rrf,novelty,strict_novel_sro,153,51,mrr,0.1435606321682846,0.0806478353464792,0.2189841503579901
graph_expanded_bm25,overall,all,408,136,any_source_hit_at_5,0.1348039215686274,0.088235294117647,0.1838235294117647
graph_expanded_bm25,overall,all,408,136,mrr,0.0923477242217311,0.0648609697302054,0.1238433176259673
graph_expanded_bm25,query_set,canonical,136,136,any_source_hit_at_5,0.1102941176470588,0.0588235294117647,0.1691176470588235
graph_expanded_bm25,query_set,canonical,136,136,mrr,0.0838174941094565,0.0528810746506072,0.1205128089075056
graph_expanded_bm25,query_set,contextualized,136,136,any_source_hit_at_5,0.1470588235294117,0.088235294117647,0.2058823529411764
graph_expanded_bm25,query_set,contextualized,136,136,mrr,0.0869671251212244,0.0572126832794092,0.1207659746815063
graph_expanded_bm25,query_set,paraphrased,136,136,any_source_hit_at_5,0.1470588235294117,0.088235294117647,0.2058823529411764
graph_expanded_bm25,query_set,paraphrased,136,136,mrr,0.1062585534345125,0.0695080400171612,0.1456206810207598
graph_expanded_bm25,novelty,seen_sro_new_sources,255,85,any_source_hit_at_5,0.1490196078431372,0.0901960784313725,0.2156862745098039
graph_expanded_bm25,novelty,seen_sro_new_sources,255,85,mrr,0.0991126020714238,0.0628795819337498,0.1407277747152765
graph_expanded_bm25,novelty,strict_novel_sro,153,51,any_source_hit_at_5,0.111111111111111,0.0457516339869281,0.1895424836601307
graph_expanded_bm25,novelty,strict_novel_sro,153,51,mrr,0.0810729278055767,0.0425534862529766,0.1263875030268355
graph_expanded_rrf,overall,all,408,136,any_source_hit_at_5,0.1985294117647058,0.1470588235294117,0.2524509803921568
graph_expanded_rrf,overall,all,408,136,mrr,0.1412717718904737,0.1066921803194227,0.1780374773515376
graph_expanded_rrf,query_set,canonical,136,136,any_source_hit_at_5,0.1985294117647058,0.1323529411764706,0.2720588235294117
graph_expanded_rrf,query_set,canonical,136,136,mrr,0.143943568780842,0.1020577684248256,0.1929588957796733
graph_expanded_rrf,query_set,contextualized,136,136,any_source_hit_at_5,0.1985294117647058,0.1323529411764706,0.2720588235294117
graph_expanded_rrf,query_set,contextualized,136,136,mrr,0.1320337814440745,0.0946878291975912,0.1739002194876251
graph_expanded_rrf,query_set,paraphrased,136,136,any_source_hit_at_5,0.1985294117647058,0.1323529411764706,0.2647058823529412
graph_expanded_rrf,query_set,paraphrased,136,136,mrr,0.1478379654465047,0.1038162551237569,0.1968788262376499
graph_expanded_rrf,novelty,seen_sro_new_sources,255,85,any_source_hit_at_5,0.2039215686274509,0.1411764705882353,0.2705882352941177
graph_expanded_rrf,novelty,seen_sro_new_sources,255,85,mrr,0.1355144323672155,0.0986060473190564,0.1779413545551176
graph_expanded_rrf,novelty,strict_novel_sro,153,51,any_source_hit_at_5,0.1895424836601307,0.1045751633986928,0.2810457516339869
graph_expanded_rrf,novelty,strict_novel_sro,153,51,mrr,0.1508673377625708,0.085739735071998,0.2244927200871613
