subset,method,reference_method,metric,n_relations,paired_mean_difference,ci_95_lower,ci_95_upper,bootstrap_p_two_sided,bootstrap_repetitions,bh_fdr_q,survives_fdr_0_05
all_relations,minilm_dense,bm25,any_source_hit_at_5,136,-0.0735294117647059,-0.1225490196078431,-0.0269607843137254,0.0036,5000,0.0288,True
all_relations,minilm_dense,bm25,source_recall_at_5,136,-0.0232762897488461,-0.0454560954358425,-0.0038237254059305,0.0164,5000,0.0583111111111111,False
all_relations,minilm_dense,bm25,mrr,136,-0.042890952761096,-0.0743959529683935,-0.0108973284679701,0.0108,5000,0.0493714285714285,True
all_relations,minilm_dense,bm25,ndcg_at_10,136,-0.0280789497776813,-0.0480529919238416,-0.0092207511878444,0.0012,5000,0.0127999999999999,True
all_relations,bm25_minilm_rrf,bm25,any_source_hit_at_5,136,0.0318627450980392,-0.0147058823529411,0.0808823529411764,0.188,5000,0.4010666666666667,False
all_relations,bm25_minilm_rrf,bm25,source_recall_at_5,136,0.0004820232108944,-0.0238389693601124,0.0229562173049143,0.9388,5000,0.969083870967742,False
all_relations,bm25_minilm_rrf,bm25,mrr,136,0.0161722859638557,-0.0143489028527157,0.0470373381174256,0.3056,5000,0.5432888888888888,False
all_relations,bm25_minilm_rrf,bm25,ndcg_at_10,136,0.0027372299950554,-0.0168807220086735,0.0205464887046687,0.7384,5000,0.9320296296296297,False
all_relations,graph_expanded_bm25,bm25,any_source_hit_at_5,136,-0.0735294117647058,-0.125,-0.0245098039215686,0.0048,5000,0.0307199999999999,True
all_relations,graph_expanded_bm25,bm25,source_recall_at_5,136,-0.030145971881062,-0.0587346671528275,-0.0048573405791694,0.014,5000,0.056,False
all_relations,graph_expanded_bm25,bm25,mrr,136,-0.0575319888202566,-0.086289059933949,-0.0295311188337521,0.0,5000,0.0,True
all_relations,graph_expanded_bm25,bm25,ndcg_at_10,136,-0.0355579548513412,-0.0587642395654346,-0.0164222544995303,0.0004,5000,0.0064,True
all_relations,graph_expanded_rrf,bm25,any_source_hit_at_5,136,-0.0098039215686274,-0.0612745098039215,0.0416666666666666,0.7132,5000,0.9320296296296297,False
all_relations,graph_expanded_rrf,bm25,source_recall_at_5,136,-0.0103476318532145,-0.0361941990793467,0.0127036902910781,0.3936,5000,0.6629052631578948,False
all_relations,graph_expanded_rrf,bm25,mrr,136,-0.0086079411515139,-0.0380866773698928,0.0200252117233322,0.5676,5000,0.8649142857142857,False
all_relations,graph_expanded_rrf,bm25,ndcg_at_10,136,-0.0079764497607886,-0.0292533116999554,0.0134463213109589,0.454,5000,0.7264,False
strict_novel_sro,minilm_dense,bm25,any_source_hit_at_5,51,-0.0718954248366013,-0.1437908496732026,-4.299393085558996e-18,0.0444,5000,0.1291636363636363,False
strict_novel_sro,minilm_dense,bm25,source_recall_at_5,51,-0.0366319353731598,-0.0948232674615507,0.0100144809714657,0.1464,5000,0.3346285714285714,False
strict_novel_sro,minilm_dense,bm25,mrr,51,-0.0303108309141725,-0.0850447429775411,0.0251619885666649,0.2728,5000,0.5135058823529411,False
strict_novel_sro,minilm_dense,bm25,ndcg_at_10,51,-0.0267782769048665,-0.0752525723866992,0.0156013761414659,0.2284,5000,0.4568,False
strict_novel_sro,bm25_minilm_rrf,bm25,any_source_hit_at_5,51,0.0130718954248365,-0.0718954248366013,0.0915032679738562,0.7864,5000,0.9320296296296297,False
strict_novel_sro,bm25_minilm_rrf,bm25,source_recall_at_5,51,-0.0100860942777307,-0.0708371358756742,0.0435259127439684,0.7664,5000,0.9320296296296297,False
strict_novel_sro,bm25_minilm_rrf,bm25,mrr,51,-0.0021270236774361,-0.0543661953267754,0.0494273598230747,0.9336,5000,0.969083870967742,False
strict_novel_sro,bm25_minilm_rrf,bm25,ndcg_at_10,51,-0.0077858258755501,-0.0514048505502151,0.0315426047548427,0.7652,5000,0.9320296296296297,False
strict_novel_sro,graph_expanded_bm25,bm25,any_source_hit_at_5,51,-0.0784313725490195,-0.1633986928104575,2.1769078914218755e-18,0.064,5000,0.1706666666666666,False
strict_novel_sro,graph_expanded_bm25,bm25,source_recall_at_5,51,-0.0511798745999361,-0.1248170505400098,0.0094800782363832,0.12,5000,0.2953846153846153,False
strict_novel_sro,graph_expanded_bm25,bm25,mrr,51,-0.064614728040144,-0.1131298373602743,-0.0179004050791148,0.006,5000,0.032,True
strict_novel_sro,graph_expanded_bm25,bm25,ndcg_at_10,51,-0.0527645082898943,-0.1091718119988133,-0.0069978646271936,0.0208,5000,0.06656,False
strict_novel_sro,graph_expanded_rrf,bm25,any_source_hit_at_5,51,-2.1769078914218755e-18,-0.0849673202614379,0.0849673202614379,1.0,5000,1.0,False
strict_novel_sro,graph_expanded_rrf,bm25,source_recall_at_5,51,-0.0119764475929074,-0.0715871744016743,0.0436668634636929,0.7136,5000,0.9320296296296297,False
strict_novel_sro,graph_expanded_rrf,bm25,mrr,51,0.00517968191685,-0.0513845001258912,0.0625907581376735,0.8576,5000,0.9463172413793104,False
strict_novel_sro,graph_expanded_rrf,bm25,ndcg_at_10,51,-0.0051775012183379,-0.0569531007369651,0.0465279105412432,0.8572,5000,0.9463172413793104,False
