evaluation,source_database,target_database,endpoint,model,auroc_lo,auroc_hi,delta_vs_semantic_lo,delta_vs_semantic_hi
coding_stress,MIMIC-III,eICU,next_aki_progression,demographic,0.4774288480003056,0.5029182793695428,-0.013762675361258504,0.023884127875649003
coding_stress,MIMIC-III,eICU,next_aki_progression,exact_code_supported_semantic,0.4997951130995076,0.5245445383703191,-0.03405220559589233,0.0005781583947696158
coding_stress,MIMIC-III,eICU,next_aki_progression,semantic_transformer,0.4808718744712906,0.5070213706541968,,
coding_stress,MIMIC-III,eICU,next_aki_stage2plus,demographic,0.5097326891076551,0.525682033629093,-0.004436657115843234,0.010532217193569716
coding_stress,MIMIC-III,eICU,next_aki_stage2plus,exact_code_supported_semantic,0.5178480300357426,0.5335068976008341,-0.0121329345603646,0.0020859137219948337
coding_stress,MIMIC-III,eICU,next_aki_stage2plus,semantic_transformer,0.5133544735021492,0.529688041824751,,
coding_stress,MIMIC-III,eICU,next_aki_stage3,demographic,0.5147343932663381,0.5361585208186196,0.040855605102165765,0.07167232291059665
coding_stress,MIMIC-III,eICU,next_aki_stage3,exact_code_supported_semantic,0.545314731102382,0.5673059846959033,0.015911602593583315,0.035862044253351294
coding_stress,MIMIC-III,eICU,next_aki_stage3,semantic_transformer,0.5690755775592619,0.5935046932509336,,
coding_stress,MIMIC-III,eICU,hospital_death,demographic,0.5701645307614415,0.5924574288363914,0.04076622182513274,0.062193510772046906
coding_stress,MIMIC-III,eICU,hospital_death,exact_code_supported_semantic,0.5788177558182963,0.6006346323855981,0.031243864583852397,0.054225862719766704
coding_stress,MIMIC-III,eICU,hospital_death,semantic_transformer,0.6204743379509127,0.6442951005082684,,
coding_stress,MIMIC-III,eICU,icu_death,demographic,0.49303078260315464,0.5213252407352961,0.09195363783936918,0.13367409742283948
coding_stress,MIMIC-III,eICU,icu_death,exact_code_supported_semantic,0.5464296940967674,0.5751380758894556,0.042484509505732945,0.07769563451653005
coding_stress,MIMIC-III,eICU,icu_death,semantic_transformer,0.6053230140268715,0.6370952804506851,,
coding_stress,MIMIC-IV,eICU,next_aki_progression,demographic,0.4913293826421268,0.5163596686389444,-0.010542121997953883,0.021333107504929703
coding_stress,MIMIC-IV,eICU,next_aki_progression,exact_code_supported_semantic,0.5206348101128931,0.5472187177874874,-0.0357955930637066,-0.012710835604772135
coding_stress,MIMIC-IV,eICU,next_aki_progression,semantic_transformer,0.4967429260006769,0.5221209922954742,,
coding_stress,MIMIC-IV,eICU,next_aki_stage2plus,demographic,0.51225754336228,0.5287096209770777,-0.023716577437818756,-0.00044212427577016285
coding_stress,MIMIC-IV,eICU,next_aki_stage2plus,exact_code_supported_semantic,0.46476550099507946,0.48132283192807346,0.02422781821155257,0.044052025062179936
coding_stress,MIMIC-IV,eICU,next_aki_stage2plus,semantic_transformer,0.49951129885211315,0.514738266165947,,
coding_stress,MIMIC-IV,eICU,next_aki_stage3,demographic,0.5139212248669283,0.5369995655575507,-0.015307697202651632,0.012054761642667984
coding_stress,MIMIC-IV,eICU,next_aki_stage3,exact_code_supported_semantic,0.5037238642507211,0.5263711701548314,-0.0032948937101828523,0.022132573231202265
coding_stress,MIMIC-IV,eICU,next_aki_stage3,semantic_transformer,0.5145041465226751,0.5369913043335629,,
coding_stress,MIMIC-IV,eICU,hospital_death,demographic,0.5746937859681528,0.5972619632154333,0.06337534014519035,0.08611375562005756
coding_stress,MIMIC-IV,eICU,hospital_death,exact_code_supported_semantic,0.5778458987962872,0.6001545089405911,0.06001893025561028,0.08327295185894691
coding_stress,MIMIC-IV,eICU,hospital_death,semantic_transformer,0.6485375180128125,0.6742128457315913,,
coding_stress,MIMIC-IV,eICU,icu_death,demographic,0.5100590226041831,0.5386172001284509,0.12045413573609533,0.15747918565225896
coding_stress,MIMIC-IV,eICU,icu_death,exact_code_supported_semantic,0.5440906237900736,0.575626050094691,0.0881243606696129,0.11893504507120344
coding_stress,MIMIC-IV,eICU,icu_death,semantic_transformer,0.646743877422094,0.6777486095258416,,
