evaluation,source_database,target_database,endpoint,model,auroc_lo,auroc_hi,delta_vs_semantic_lo,delta_vs_semantic_hi
external,MIMIC-III,MIMIC-IV,next_aki_progression,demographic,0.5086656953113402,0.5260899273515331,-0.0037204848326466643,0.02256558373961683
external,MIMIC-III,MIMIC-IV,next_aki_progression,xgboost,0.5439397604831496,0.561847374445166,-0.03833041541369568,-0.017184669611562578
external,MIMIC-III,MIMIC-IV,next_aki_progression,random_transformer,0.5178823933552961,0.5352435023168822,-0.009746313905790466,0.009152176358613423
external,MIMIC-III,MIMIC-IV,next_aki_progression,semantic_transformer,0.5164887212074039,0.5355786663690394,,
external,MIMIC-III,MIMIC-IV,next_aki_stage2plus,demographic,0.5152167870760789,0.5297948798240206,0.02916708676100549,0.044026512236345815
external,MIMIC-III,MIMIC-IV,next_aki_stage2plus,xgboost,0.5583520848657387,0.5712442283755582,-0.01194249064932952,-0.00027646162311433274
external,MIMIC-III,MIMIC-IV,next_aki_stage2plus,random_transformer,0.546828389966923,0.5606384985230962,-0.0013931888582668416,0.012404091887453105
external,MIMIC-III,MIMIC-IV,next_aki_stage2plus,semantic_transformer,0.5520112697681138,0.5663460728188661,,
external,MIMIC-III,MIMIC-IV,next_aki_stage3,demographic,0.5452463814541786,0.5774054327861387,0.10981749758538674,0.14978144864235649
external,MIMIC-III,MIMIC-IV,next_aki_stage3,xgboost,0.6633267600937474,0.6929452935967388,0.0015767239515092541,0.0293183392521075
external,MIMIC-III,MIMIC-IV,next_aki_stage3,random_transformer,0.6680084086823814,0.6991773932274354,-0.006570563334549756,0.026210992749785715
external,MIMIC-III,MIMIC-IV,next_aki_stage3,semantic_transformer,0.6774748797787455,0.708468448795722,,
external,MIMIC-III,MIMIC-IV,hospital_death,demographic,0.5463081854659998,0.5651815855355689,0.09299379455461491,0.11766249453371909
external,MIMIC-III,MIMIC-IV,hospital_death,xgboost,0.6489743029061047,0.6689897039453536,-0.008786769926186818,0.010024177462146696
external,MIMIC-III,MIMIC-IV,hospital_death,random_transformer,0.6029192419531337,0.6241138961470275,0.0367090294027157,0.05529747892094876
external,MIMIC-III,MIMIC-IV,hospital_death,semantic_transformer,0.6510270768660272,0.6699063390813675,,
external,MIMIC-III,MIMIC-IV,icu_death,demographic,0.5016606868754102,0.5224690711057534,0.13246711469850925,0.16502572339722313
external,MIMIC-III,MIMIC-IV,icu_death,xgboost,0.6422395638710023,0.6662045653309461,-0.005038546770916197,0.016042789435685413
external,MIMIC-III,MIMIC-IV,icu_death,random_transformer,0.5942790046448128,0.6192808507041847,0.04286932908630405,0.065612089134846
external,MIMIC-III,MIMIC-IV,icu_death,semantic_transformer,0.649613240159256,0.6744681290930958,,
external,MIMIC-III,eICU,next_aki_progression,demographic,0.4758645511898321,0.502711516250328,-0.011943021025322733,0.025052528687989465
external,MIMIC-III,eICU,next_aki_progression,xgboost,0.5054816648778375,0.5294475956515675,-0.0380799999822842,-0.008404249173043601
external,MIMIC-III,eICU,next_aki_progression,random_transformer,0.515290247399488,0.5406525277751113,-0.04925603529961528,-0.017027222901508817
external,MIMIC-III,eICU,next_aki_progression,semantic_transformer,0.4834319248916647,0.5077741289191176,,
external,MIMIC-III,eICU,next_aki_stage2plus,demographic,0.5106198030652261,0.5272069196921659,-0.005544788905991379,0.010742917405175247
external,MIMIC-III,eICU,next_aki_stage2plus,xgboost,0.5168379334533306,0.5355473854932578,-0.012662425897591967,0.0035498809571610198
external,MIMIC-III,eICU,next_aki_stage2plus,random_transformer,0.5111827648459231,0.5277575024904737,-0.00634145193998577,0.009678284733736154
external,MIMIC-III,eICU,next_aki_stage2plus,semantic_transformer,0.5119924107297993,0.52937231392369,,
external,MIMIC-III,eICU,next_aki_stage3,demographic,0.5115652060848747,0.5383711246011341,0.044338976469373195,0.07038528582273276
external,MIMIC-III,eICU,next_aki_stage3,xgboost,0.5402686484297065,0.5632864312377875,0.015870222541602412,0.04210636934856476
external,MIMIC-III,eICU,next_aki_stage3,random_transformer,0.5415128422333569,0.5653687818562507,0.016771932003195066,0.03796595935852684
external,MIMIC-III,eICU,next_aki_stage3,semantic_transformer,0.5705283831737494,0.5915963503473044,,
external,MIMIC-III,eICU,hospital_death,demographic,0.5683181053994416,0.592809397204644,0.040356102936235344,0.06508343943397826
external,MIMIC-III,eICU,hospital_death,xgboost,0.5717269237739387,0.596122209952607,0.03719265929441967,0.06016543840025849
external,MIMIC-III,eICU,hospital_death,random_transformer,0.57428890233135,0.5992962934224978,0.035958433849839704,0.05709662872797938
external,MIMIC-III,eICU,hospital_death,semantic_transformer,0.622954930817655,0.6460673218895885,,
external,MIMIC-III,eICU,icu_death,demographic,0.49479933639345375,0.5228784929122172,0.08970260156958004,0.13533281463762542
external,MIMIC-III,eICU,icu_death,xgboost,0.5417481807560703,0.5700815392100324,0.04584833676161039,0.08058441414697537
external,MIMIC-III,eICU,icu_death,random_transformer,0.5466626854880811,0.5749223254208865,0.042162082675306356,0.07564030590064579
external,MIMIC-III,eICU,icu_death,semantic_transformer,0.605239725176446,0.6365323810155749,,
external,MIMIC-IV,MIMIC-III,next_aki_progression,demographic,0.5101511486755581,0.5323640639096613,0.003141553964099436,0.029191677245828686
external,MIMIC-IV,MIMIC-III,next_aki_progression,xgboost,0.5315254692781527,0.5496684831124424,-0.00851106421789934,0.00558659064648501
external,MIMIC-IV,MIMIC-III,next_aki_progression,random_transformer,0.5270191543094473,0.5453324416146702,-0.003853056452610218,0.008433003571307314
external,MIMIC-IV,MIMIC-III,next_aki_progression,semantic_transformer,0.5280500973378897,0.5496750982331268,,
external,MIMIC-IV,MIMIC-III,next_aki_stage2plus,demographic,0.5223495857167099,0.5400455133225613,-0.01221615398856748,0.010710524248911116
external,MIMIC-IV,MIMIC-III,next_aki_stage2plus,xgboost,0.5387482471616911,0.5567735374864627,-0.024777468933826333,-0.008179692300382032
external,MIMIC-IV,MIMIC-III,next_aki_stage2plus,random_transformer,0.5375491487365645,0.5567200116449145,-0.027077264894534887,-0.005568903373648695
external,MIMIC-IV,MIMIC-III,next_aki_stage2plus,semantic_transformer,0.5230740506980573,0.5404712658211593,,
external,MIMIC-IV,MIMIC-III,next_aki_stage3,demographic,0.5627927537109748,0.6051823572196066,0.07061211073985263,0.11179607938840434
external,MIMIC-IV,MIMIC-III,next_aki_stage3,xgboost,0.6771392444201063,0.7133900492453246,-0.03202612970942099,-0.0050847730349133135
external,MIMIC-IV,MIMIC-III,next_aki_stage3,random_transformer,0.665021606358161,0.7046302406362642,-0.019861753602484454,0.007049743381927233
external,MIMIC-IV,MIMIC-III,next_aki_stage3,semantic_transformer,0.6568736358188344,0.698849660545727,,
external,MIMIC-IV,MIMIC-III,hospital_death,demographic,0.6089314144720986,0.6306176659736835,0.024760069909192106,0.03855884252143649
external,MIMIC-IV,MIMIC-III,hospital_death,xgboost,0.6371739877227351,0.6595251084155588,0.0001464888515588736,0.007314509052630577
external,MIMIC-IV,MIMIC-III,hospital_death,random_transformer,0.631295901720506,0.6520095630748499,0.005275820620317481,0.013516120295580752
external,MIMIC-IV,MIMIC-III,hospital_death,semantic_transformer,0.6414734595068768,0.6628995325717421,,
external,MIMIC-IV,MIMIC-III,icu_death,demographic,0.5263878876438488,0.5507139891229674,0.08236766130246434,0.10969421317972997
external,MIMIC-IV,MIMIC-III,icu_death,xgboost,0.6174582549579528,0.6442103504235234,-0.003150428399361002,0.007921025329207354
external,MIMIC-IV,MIMIC-III,icu_death,random_transformer,0.6154733665762325,0.6416036112594875,0.0013011229027803661,0.011557646131369973
external,MIMIC-IV,MIMIC-III,icu_death,semantic_transformer,0.622722490805748,0.6466585520066717,,
external,MIMIC-IV,eICU,next_aki_progression,demographic,0.4893146017155564,0.5143971363903878,-0.007973056208915629,0.023548796447864003
external,MIMIC-IV,eICU,next_aki_progression,xgboost,0.5156837510038496,0.5418433374684704,-0.031287635134916725,-0.005514011798435411
external,MIMIC-IV,eICU,next_aki_progression,random_transformer,0.5160758832431539,0.5424224332032844,-0.033070645440124224,-0.007093299622061343
external,MIMIC-IV,eICU,next_aki_progression,semantic_transformer,0.4991398216896991,0.5228312306579457,,
external,MIMIC-IV,eICU,next_aki_stage2plus,demographic,0.5131667449884016,0.5275988224660256,-0.02456737309239325,-0.00010628518715591028
external,MIMIC-IV,eICU,next_aki_stage2plus,xgboost,0.5118297008590587,0.5269815589325283,-0.02384578801202114,-0.0005151448401221716
external,MIMIC-IV,eICU,next_aki_stage2plus,random_transformer,0.5150335669165091,0.5294263323370503,-0.026727453469188533,-0.002244828625973769
external,MIMIC-IV,eICU,next_aki_stage2plus,semantic_transformer,0.5003748911021504,0.5160344300193666,,
external,MIMIC-IV,eICU,next_aki_stage3,demographic,0.5130542306862964,0.5368405507534483,-0.014271455367410632,0.012485211081983352
external,MIMIC-IV,eICU,next_aki_stage3,xgboost,0.53784118188242,0.5645768801190534,-0.039116878354493546,-0.011476077578278652
external,MIMIC-IV,eICU,next_aki_stage3,random_transformer,0.5403768699576605,0.563517576338924,-0.04161086028100528,-0.013555336053714308
external,MIMIC-IV,eICU,next_aki_stage3,semantic_transformer,0.5126638109717783,0.5375155913178076,,
external,MIMIC-IV,eICU,hospital_death,demographic,0.5763811577331174,0.5990566001632961,0.06246728591824,0.08423769846764818
external,MIMIC-IV,eICU,hospital_death,xgboost,0.5774694871942465,0.5999355586464622,0.06122344065005213,0.0828274925472016
external,MIMIC-IV,eICU,hospital_death,random_transformer,0.578908550651602,0.601292998572062,0.060221234759937146,0.08170662456685121
external,MIMIC-IV,eICU,hospital_death,semantic_transformer,0.6494768078654622,0.6724228824592633,,
external,MIMIC-IV,eICU,icu_death,demographic,0.5049341299594021,0.5357973887701849,0.12445337924537173,0.1563599543912015
external,MIMIC-IV,eICU,icu_death,xgboost,0.5427547687278863,0.5745509128490051,0.08999650611261428,0.11929966913772697
external,MIMIC-IV,eICU,icu_death,random_transformer,0.5417925542339956,0.5754782641929912,0.09074083121002358,0.11916258344080394
external,MIMIC-IV,eICU,icu_death,semantic_transformer,0.6478893331694181,0.6757561582604283,,
external,eICU,MIMIC-III,next_aki_progression,demographic,0.48446194231520917,0.5078177741228905,0.004081236596902935,0.03958245002854171
external,eICU,MIMIC-III,next_aki_progression,xgboost,0.5108227384804642,0.531563309319714,-0.008907054191180014,0.004925556504326262
external,eICU,MIMIC-III,next_aki_progression,random_transformer,0.513838063867595,0.533060200524077,-0.011688990590882783,0.0006691526074942423
external,eICU,MIMIC-III,next_aki_progression,semantic_transformer,0.5089227598343583,0.5283300372241613,,
external,eICU,MIMIC-III,next_aki_stage2plus,demographic,0.5252118244715629,0.541245560738576,-0.019056355566645377,-0.007318638935556931
external,eICU,MIMIC-III,next_aki_stage2plus,xgboost,0.522769460888307,0.5377981467383179,-0.01596857842409744,-0.004459371630495195
external,eICU,MIMIC-III,next_aki_stage2plus,random_transformer,0.5167890363385279,0.5324642482555385,-0.009926730156658427,0.0022699057231225636
external,eICU,MIMIC-III,next_aki_stage2plus,semantic_transformer,0.51242972671418,0.5284236605760898,,
external,eICU,MIMIC-III,next_aki_stage3,demographic,0.5713250232602457,0.6112949814745405,0.012348805829033319,0.05817897592648349
external,eICU,MIMIC-III,next_aki_stage3,xgboost,0.5966558953841261,0.6347044877409332,-0.009335702439037865,0.02910412866222706
external,eICU,MIMIC-III,next_aki_stage3,random_transformer,0.5824948604575974,0.6223677331885535,0.002157532562356085,0.04514460340175455
external,eICU,MIMIC-III,next_aki_stage3,semantic_transformer,0.602660097700433,0.6441872708529337,,
external,eICU,MIMIC-III,hospital_death,demographic,0.5310706374087591,0.5521605936245814,0.08714523317531182,0.1115823949954451
external,eICU,MIMIC-III,hospital_death,xgboost,0.6105977388911565,0.6341165122189123,0.01362889564952022,0.023772461518551714
external,eICU,MIMIC-III,hospital_death,random_transformer,0.6033266359663442,0.6244594611835063,0.0209664838218735,0.032429841639998624
external,eICU,MIMIC-III,hospital_death,semantic_transformer,0.6290503019503249,0.6524161133746061,,
external,eICU,MIMIC-III,icu_death,demographic,0.47364712023292954,0.4982345854340223,0.11748896282352649,0.1542117068528173
external,eICU,MIMIC-III,icu_death,xgboost,0.5857967907975932,0.611684087414681,0.015306717416301185,0.030337521211456966
external,eICU,MIMIC-III,icu_death,random_transformer,0.5855639329733726,0.6120324440979434,0.01539117734925929,0.02996216529930155
external,eICU,MIMIC-III,icu_death,semantic_transformer,0.6082979775331251,0.6355841896219623,,
external,eICU,MIMIC-IV,next_aki_progression,demographic,0.5041917933885749,0.524046538554156,-0.0026027524140643465,0.02580034188967811
external,eICU,MIMIC-IV,next_aki_progression,xgboost,0.5155701202164085,0.5317521057740865,-0.010060196978015067,0.011468725895032466
external,eICU,MIMIC-IV,next_aki_progression,random_transformer,0.49258249742403293,0.508764506550928,0.012657002998934302,0.034776427085161564
external,eICU,MIMIC-IV,next_aki_progression,semantic_transformer,0.5165020582015224,0.5338499222567803,,
external,eICU,MIMIC-IV,next_aki_stage2plus,demographic,0.5145127139247787,0.5284001598143546,-0.031128209525466598,-0.01279644402745368
external,eICU,MIMIC-IV,next_aki_stage2plus,xgboost,0.5099274344219291,0.524614067262943,-0.026573347371754596,-0.009043695700749223
external,eICU,MIMIC-IV,next_aki_stage2plus,random_transformer,0.5073323480323164,0.5220239092992247,-0.024599117352320555,-0.006507148150972706
external,eICU,MIMIC-IV,next_aki_stage2plus,semantic_transformer,0.4919806281595034,0.5064289769015199,,
external,eICU,MIMIC-IV,next_aki_stage3,demographic,0.55516361886125,0.5841192211378979,0.08784746894107995,0.1316245876881152
external,eICU,MIMIC-IV,next_aki_stage3,xgboost,0.5750279776229712,0.6006677673476359,0.07195757599404744,0.11028502481491713
external,eICU,MIMIC-IV,next_aki_stage3,random_transformer,0.5199324584194327,0.5513884423532837,0.12101888285649935,0.1693252854687775
external,eICU,MIMIC-IV,next_aki_stage3,semantic_transformer,0.660641774136387,0.6978662950403326,,
external,eICU,MIMIC-IV,hospital_death,demographic,0.5678319261865806,0.5891577425596956,0.06306717337047225,0.08567748873479133
