evaluation,source_database,target_database,model,endpoint,n,event_rate,auroc,average_precision,brier,ece_10bin
external,MIMIC-III,MIMIC-IV,demographic,next_aki_progression,29267,0.14128540677213244,0.5173001136827058,0.14797020339628983,0.12303697317838669,0.030232089899258102
external,MIMIC-III,MIMIC-IV,demographic,next_aki_stage2plus,29267,0.2857484538900468,0.5232048248076114,0.2987056399378205,0.20402908325195312,0.013603067562627115
external,MIMIC-III,MIMIC-IV,demographic,next_aki_stage3,29267,0.04503365565312468,0.5627916955395289,0.05329376661059333,0.04442547634243965,0.028410251043062572
external,MIMIC-III,MIMIC-IV,demographic,hospital_death,29267,0.12157036935797998,0.5554432833465734,0.1494596932111572,0.10815409570932388,0.034354139693320934
external,MIMIC-III,MIMIC-IV,demographic,icu_death,29262,0.0815733716082291,0.5133770481581434,0.08154509668889029,0.07657591998577118,0.03090965105487386
external,MIMIC-III,MIMIC-IV,xgboost,next_aki_progression,29267,0.14128540677213244,0.5530908917000462,0.16516901276190565,0.23490056723881517,0.33207436329128753
external,MIMIC-III,MIMIC-IV,xgboost,next_aki_stage2plus,29267,0.2857484538900468,0.5648785444369137,0.34829055304835826,0.23579894469222917,0.1879210699231647
external,MIMIC-III,MIMIC-IV,xgboost,next_aki_stage3,29267,0.04503365565312468,0.6781804393228485,0.2551460119751958,0.1765955482426302,0.3439958524303868
external,MIMIC-III,MIMIC-IV,xgboost,hospital_death,29267,0.12157036935797998,0.6591921405729465,0.24611984737238438,0.22697738368941808,0.3457818696368336
external,MIMIC-III,MIMIC-IV,xgboost,icu_death,29262,0.0815733716082291,0.654674837540554,0.1831581989838186,0.22122705572047627,0.3752457004771993
external,MIMIC-III,MIMIC-IV,random_transformer,next_aki_progression,29267,0.14128540677213244,0.5267230281670218,0.1533920851542202,0.1266411393880844,0.049407021616970505
external,MIMIC-III,MIMIC-IV,random_transformer,next_aki_stage2plus,29267,0.2857484538900468,0.5537458747890804,0.33944899577299315,0.2117130607366562,0.07322459730724161
external,MIMIC-III,MIMIC-IV,random_transformer,next_aki_stage3,29267,0.04503365565312468,0.6849872092518831,0.21606992475464043,0.047309134155511856,0.025639534501145218
external,MIMIC-III,MIMIC-IV,random_transformer,hospital_death,29267,0.12157036935797998,0.6145934026030215,0.2091754975702646,0.11972936987876892,0.07997782464808151
external,MIMIC-III,MIMIC-IV,random_transformer,icu_death,29262,0.0815733716082291,0.605489284009314,0.14767894172273194,0.08477818965911865,0.05311981390790705
external,MIMIC-III,MIMIC-IV,semantic_transformer,next_aki_progression,29267,0.14128540677213244,0.5261352826122812,0.15322418770514162,0.12186772376298904,0.01650759391556653
external,MIMIC-III,MIMIC-IV,semantic_transformer,next_aki_stage2plus,29267,0.2857484538900468,0.5590423494197625,0.3525404125452969,0.20101825892925262,0.03303984671430941
external,MIMIC-III,MIMIC-IV,semantic_transformer,next_aki_stage3,29267,0.04503365565312468,0.6952595777774507,0.30620497636371835,0.03592618554830551,0.0039536893609866015
external,MIMIC-III,MIMIC-IV,semantic_transformer,hospital_death,29267,0.12157036935797998,0.6607671145580587,0.23641627061298814,0.10632213950157166,0.03418080612829207
