evaluation,cluster_unit,source_database,target_database,endpoint,model,n_clusters,auroc_lo,auroc_hi
external,hospital,MIMIC-III,eICU,next_aki_progression,demographic,138,0.47083577590293924,0.501987134171976
external,hospital,MIMIC-III,eICU,next_aki_progression,xgboost,138,0.5056496980320382,0.5299530461016916
external,hospital,MIMIC-III,eICU,next_aki_progression,random_transformer,138,0.5146866817339738,0.5416354238028626
external,hospital,MIMIC-III,eICU,next_aki_progression,semantic_transformer,138,0.4805991032372278,0.5229783735267174
external,hospital,MIMIC-III,eICU,next_aki_stage2plus,demographic,138,0.5083168306504259,0.5298486751400167
external,hospital,MIMIC-III,eICU,next_aki_stage2plus,xgboost,138,0.5161935364954893,0.5379715681602834
external,hospital,MIMIC-III,eICU,next_aki_stage2plus,random_transformer,138,0.5084904697744439,0.5308643946878441
external,hospital,MIMIC-III,eICU,next_aki_stage2plus,semantic_transformer,138,0.5117980947691826,0.5369070141093606
external,hospital,MIMIC-III,eICU,next_aki_stage3,demographic,138,0.5142348800637402,0.5380816756419722
external,hospital,MIMIC-III,eICU,next_aki_stage3,xgboost,138,0.5376784657417925,0.5673916735637777
external,hospital,MIMIC-III,eICU,next_aki_stage3,random_transformer,138,0.5376407684844942,0.5725796081901084
external,hospital,MIMIC-III,eICU,next_aki_stage3,semantic_transformer,138,0.55546615034636,0.6136368055108403
external,hospital,MIMIC-III,eICU,hospital_death,demographic,138,0.5639016146589169,0.5953257995492304
external,hospital,MIMIC-III,eICU,hospital_death,xgboost,138,0.569777767541373,0.5967589629758275
external,hospital,MIMIC-III,eICU,hospital_death,random_transformer,138,0.5723861604828704,0.599713795339352
external,hospital,MIMIC-III,eICU,hospital_death,semantic_transformer,138,0.6156574912841676,0.6483223385271047
external,hospital,MIMIC-III,eICU,icu_death,demographic,138,0.4840012400676367,0.5245678257912122
external,hospital,MIMIC-III,eICU,icu_death,xgboost,138,0.5358223991800423,0.5721228888009103
external,hospital,MIMIC-III,eICU,icu_death,random_transformer,138,0.5360579190678019,0.5801787059495234
external,hospital,MIMIC-III,eICU,icu_death,semantic_transformer,138,0.592862719828433,0.6406936831370219
external,hospital,MIMIC-IV,eICU,next_aki_progression,demographic,138,0.48237665972031335,0.5180213426967212
external,hospital,MIMIC-IV,eICU,next_aki_progression,xgboost,138,0.5126431763489682,0.5453412236652866
external,hospital,MIMIC-IV,eICU,next_aki_progression,random_transformer,138,0.5163604690396877,0.5435541559275813
