evaluation,source_database,target_database,model,endpoint,n,event_rate,auroc,average_precision,brier,ece_10bin
lodo,MIMIC-IV + eICU,MIMIC-III,demographic,next_aki_progression,20108,0.1643624428088323,0.5251058564842763,0.17365294229246642,0.13863207399845123,0.03782877026773102
lodo,MIMIC-IV + eICU,MIMIC-III,demographic,next_aki_stage2plus,20108,0.27605927988860157,0.533146549546186,0.2949976501485729,0.20697471499443054,0.08734293291221111
lodo,MIMIC-IV + eICU,MIMIC-III,demographic,next_aki_stage3,20108,0.040431668987467674,0.5996542642285713,0.05403915693932981,0.042909976094961166,0.06370406874266728
lodo,MIMIC-IV + eICU,MIMIC-III,demographic,hospital_death,20108,0.13412572110602744,0.6207650318957793,0.19272387561821852,0.11427150666713715,0.007075906575381198
lodo,MIMIC-IV + eICU,MIMIC-III,demographic,icu_death,20108,0.09563357867515417,0.5325234048680065,0.09918829951978975,0.08634471148252487,0.013891062728344795
lodo,MIMIC-IV + eICU,MIMIC-III,xgboost,next_aki_progression,20108,0.1643624428088323,0.5300044306258617,0.1743956530224549,0.24568448512065824,0.32888479315034225
lodo,MIMIC-IV + eICU,MIMIC-III,xgboost,next_aki_stage2plus,20108,0.27605927988860157,0.5446706761177744,0.32171079795889085,0.24698967691176524,0.2187839377573661
lodo,MIMIC-IV + eICU,MIMIC-III,xgboost,next_aki_stage3,20108,0.040431668987467674,0.6643016261725198,0.20268918642148204,0.19059645000276257,0.38600402277144374
lodo,MIMIC-IV + eICU,MIMIC-III,xgboost,hospital_death,20108,0.13412572110602744,0.6485622723218865,0.24271453391342385,0.20978301554700013,0.31001199914543764
lodo,MIMIC-IV + eICU,MIMIC-III,xgboost,icu_death,20108,0.09563357867515417,0.629884352921546,0.17441742281257977,0.19993913116354242,0.33633472587541263
lodo,MIMIC-IV + eICU,MIMIC-III,random_transformer,next_aki_progression,20108,0.1643624428088323,0.5292428779782589,0.17172476095306088,0.14105680584907532,0.061605192229569686
lodo,MIMIC-IV + eICU,MIMIC-III,random_transformer,next_aki_stage2plus,20108,0.27605927988860157,0.5435036265356195,0.3239479992801999,0.20520929992198944,0.0864114257493502
lodo,MIMIC-IV + eICU,MIMIC-III,random_transformer,next_aki_stage3,20108,0.040431668987467674,0.6431619252704577,0.20576280240922531,0.035941895097494125,0.0268929150783271
lodo,MIMIC-IV + eICU,MIMIC-III,random_transformer,hospital_death,20108,0.13412572110602744,0.646860540837946,0.24180057706506453,0.1152402013540268,0.05898501553969365
lodo,MIMIC-IV + eICU,MIMIC-III,random_transformer,icu_death,20108,0.09563357867515417,0.6280681120013566,0.17137603128422785,0.08703431487083435,0.050839435625232215
lodo,MIMIC-IV + eICU,MIMIC-III,semantic_transformer,next_aki_progression,20108,0.1643624428088323,0.5230100020861126,0.1691988261595404,0.13839982450008392,0.03366044667992767
lodo,MIMIC-IV + eICU,MIMIC-III,semantic_transformer,next_aki_stage2plus,20108,0.27605927988860157,0.5452492662448551,0.3252352577329725,0.21078796684741974,0.11229910566641034
lodo,MIMIC-IV + eICU,MIMIC-III,semantic_transformer,next_aki_stage3,20108,0.040431668987467674,0.6421316664578929,0.1987941455437338,0.03705313429236412,0.04176483722264696
lodo,MIMIC-IV + eICU,MIMIC-III,semantic_transformer,hospital_death,20108,0.13412572110602744,0.6514175583619108,0.24343803156135543,0.11315036565065384,0.04251588473731205
lodo,MIMIC-IV + eICU,MIMIC-III,semantic_transformer,icu_death,20108,0.09563357867515417,0.6326144978710889,0.17340424895347345,0.08600782603025436,0.04278726010839562
lodo,MIMIC-III + eICU,MIMIC-IV,demographic,next_aki_progression,29267,0.14128540677213244,0.5242258865932735,0.14719636137887848,0.121178038418293,0.0033144338919637566
lodo,MIMIC-III + eICU,MIMIC-IV,demographic,next_aki_stage2plus,29267,0.2857484538900468,0.5211394336277663,0.2977072687036303,0.20904864370822906,0.07062000771954864
lodo,MIMIC-III + eICU,MIMIC-IV,demographic,next_aki_stage3,29267,0.04503365565312468,0.588161460466335,0.05796830998576746,0.04583040997385979,0.0543732135081701
lodo,MIMIC-III + eICU,MIMIC-IV,demographic,hospital_death,29267,0.12157036935797998,0.6002296348299713,0.16907305869703773,0.10583185404539108,0.014096895865219016
lodo,MIMIC-III + eICU,MIMIC-IV,demographic,icu_death,29262,0.0815733716082291,0.5794660067614307,0.1035709901421719,0.07468543201684952,0.009727029573786216
lodo,MIMIC-III + eICU,MIMIC-IV,xgboost,next_aki_progression,29267,0.14128540677213244,0.5462331754118184,0.1619239803911554,0.24863206474832047,0.356212477337298
lodo,MIMIC-III + eICU,MIMIC-IV,xgboost,next_aki_stage2plus,29267,0.2857484538900468,0.5645685372702341,0.34232954949035277,0.22661421076120847,0.16111007829371424
lodo,MIMIC-III + eICU,MIMIC-IV,xgboost,next_aki_stage3,29267,0.04503365565312468,0.6465778281067005,0.23128546624795918,0.16265557422488666,0.33878294032287387
lodo,MIMIC-III + eICU,MIMIC-IV,xgboost,hospital_death,29267,0.12157036935797998,0.66533962478959,0.24603493317028735,0.22661669423988845,0.3500344693478971
lodo,MIMIC-III + eICU,MIMIC-IV,xgboost,icu_death,29262,0.0815733716082291,0.6633499361853451,0.17757724660222715,0.22527738147680287,0.3872842577362259
lodo,MIMIC-III + eICU,MIMIC-IV,random_transformer,next_aki_progression,29267,0.14128540677213244,0.52541455119388,0.151001681259943,0.1243387833237648,0.033172906813681964
lodo,MIMIC-III + eICU,MIMIC-IV,random_transformer,next_aki_stage2plus,29267,0.2857484538900468,0.5524856596623942,0.34256154905596176,0.21513737738132477,0.08169416164179406
lodo,MIMIC-III + eICU,MIMIC-IV,random_transformer,next_aki_stage3,29267,0.04503365565312468,0.5980830383066578,0.23544508348628795,0.04281708970665932,0.024544277288653292
lodo,MIMIC-III + eICU,MIMIC-IV,random_transformer,hospital_death,29267,0.12157036935797998,0.6223102635015754,0.2231225743988921,0.10775899887084961,0.04363884649747958
lodo,MIMIC-III + eICU,MIMIC-IV,random_transformer,icu_death,29262,0.0815733716082291,0.6106122192885884,0.16201190710161278,0.07590844482183456,0.030165449630536047
lodo,MIMIC-III + eICU,MIMIC-IV,semantic_transformer,next_aki_progression,29267,0.14128540677213244,0.5455220570815357,0.15865518363309236,0.12134416401386261,0.015780597670104268
lodo,MIMIC-III + eICU,MIMIC-IV,semantic_transformer,next_aki_stage2plus,29267,0.2857484538900468,0.5529041583260951,0.34402594081050775,0.2078503966331482,0.04260768746842562
lodo,MIMIC-III + eICU,MIMIC-IV,semantic_transformer,next_aki_stage3,29267,0.04503365565312468,0.7051265498707243,0.2982037907067312,0.04415208101272583,0.04755580250052757
lodo,MIMIC-III + eICU,MIMIC-IV,semantic_transformer,hospital_death,29267,0.12157036935797998,0.6810473138071849,0.2571644921461112,0.10848279297351837,0.07057743883889117
lodo,MIMIC-III + eICU,MIMIC-IV,semantic_transformer,icu_death,29262,0.0815733716082291,0.6836693563001139,0.19550110658626058,0.0752129927277565,0.0448895619816655
lodo,MIMIC-III + MIMIC-IV,eICU,demographic,next_aki_progression,18776,0.10827652322113336,0.5080965626030909,0.11022476883728997,0.0984971895813942,0.04342010915700011
