evaluation,cluster_unit,source_database,target_database,endpoint,model,n_clusters,auroc_lo,auroc_hi
external,patient,MIMIC-III,MIMIC-IV,next_aki_progression,demographic,25122,0.5071513764922035,0.5264767909593332
external,patient,MIMIC-III,MIMIC-IV,next_aki_progression,xgboost,25122,0.5441580680196623,0.5618074910579365
external,patient,MIMIC-III,MIMIC-IV,next_aki_progression,random_transformer,25122,0.5166936933525065,0.536341261819267
external,patient,MIMIC-III,MIMIC-IV,next_aki_progression,semantic_transformer,25122,0.5165420578365495,0.5341088940869699
external,patient,MIMIC-III,MIMIC-IV,next_aki_stage2plus,demographic,25122,0.5160388850194383,0.5304202279961847
external,patient,MIMIC-III,MIMIC-IV,next_aki_stage2plus,xgboost,25122,0.5586373469589662,0.5723845872313044
external,patient,MIMIC-III,MIMIC-IV,next_aki_stage2plus,random_transformer,25122,0.5463358187678867,0.560104719317992
external,patient,MIMIC-III,MIMIC-IV,next_aki_stage2plus,semantic_transformer,25122,0.55214384408301,0.5656130357756817
external,patient,MIMIC-III,MIMIC-IV,next_aki_stage3,demographic,25122,0.5448034379911426,0.5808681753706461
external,patient,MIMIC-III,MIMIC-IV,next_aki_stage3,xgboost,25122,0.6602146232155078,0.6917655876041471
external,patient,MIMIC-III,MIMIC-IV,next_aki_stage3,random_transformer,25122,0.6680183248471314,0.702833282665385
external,patient,MIMIC-III,MIMIC-IV,next_aki_stage3,semantic_transformer,25122,0.6789040747483408,0.7118148294271313
external,patient,MIMIC-III,MIMIC-IV,hospital_death,demographic,25122,0.5461045417097061,0.5648235941027481
external,patient,MIMIC-III,MIMIC-IV,hospital_death,xgboost,25122,0.6495995329295728,0.6705057389242912
external,patient,MIMIC-III,MIMIC-IV,hospital_death,random_transformer,25122,0.6032914954055931,0.6248874920326731
external,patient,MIMIC-III,MIMIC-IV,hospital_death,semantic_transformer,25122,0.6522151959242478,0.6711878380306071
external,patient,MIMIC-III,MIMIC-IV,icu_death,demographic,25122,0.5025806778072578,0.5252500193950465
external,patient,MIMIC-III,MIMIC-IV,icu_death,xgboost,25122,0.6424645732926015,0.6662911122950079
external,patient,MIMIC-III,MIMIC-IV,icu_death,random_transformer,25122,0.5934029128712548,0.6182111555023844
external,patient,MIMIC-III,MIMIC-IV,icu_death,semantic_transformer,25122,0.6468286445066223,0.6740997798653764
external,patient,MIMIC-III,eICU,next_aki_progression,demographic,17491,0.47762599770797537,0.5017478940777508
external,patient,MIMIC-III,eICU,next_aki_progression,xgboost,17491,0.5051688777723127,0.5327611824247082
external,patient,MIMIC-III,eICU,next_aki_progression,random_transformer,17491,0.5136454519089938,0.5400618800147527
external,patient,MIMIC-III,eICU,next_aki_progression,semantic_transformer,17491,0.48370942017434376,0.5088568633112555
external,patient,MIMIC-III,eICU,next_aki_stage2plus,demographic,17491,0.510171646502331,0.5258305244968712
external,patient,MIMIC-III,eICU,next_aki_stage2plus,xgboost,17491,0.5171732850527343,0.5338254056261089
external,patient,MIMIC-III,eICU,next_aki_stage2plus,random_transformer,17491,0.5109835224136571,0.5275779591957812
external,patient,MIMIC-III,eICU,next_aki_stage2plus,semantic_transformer,17491,0.512024694952543,0.5297721688941357
external,patient,MIMIC-III,eICU,next_aki_stage3,demographic,17491,0.5130039030594263,0.5410588372345134
external,patient,MIMIC-III,eICU,next_aki_stage3,xgboost,17491,0.5410608237750437,0.5618996751382894
external,patient,MIMIC-III,eICU,next_aki_stage3,random_transformer,17491,0.5409997944021592,0.5650927110344994
external,patient,MIMIC-III,eICU,next_aki_stage3,semantic_transformer,17491,0.5689342410841223,0.5933745677282686
external,patient,MIMIC-III,eICU,hospital_death,demographic,17491,0.5707550583873747,0.5921262379811506
external,patient,MIMIC-III,eICU,hospital_death,xgboost,17491,0.5740290388654488,0.5966612035788299
external,patient,MIMIC-III,eICU,hospital_death,random_transformer,17491,0.5765115471341861,0.5990428285818875
external,patient,MIMIC-III,eICU,hospital_death,semantic_transformer,17491,0.620439947249143,0.6468650866497553
external,patient,MIMIC-III,eICU,icu_death,demographic,17491,0.49375111549744566,0.5229309601956024
external,patient,MIMIC-III,eICU,icu_death,xgboost,17491,0.5414223355973172,0.572670061043452
external,patient,MIMIC-III,eICU,icu_death,random_transformer,17491,0.5467770025916312,0.5751909914424301
external,patient,MIMIC-III,eICU,icu_death,semantic_transformer,17491,0.6041479410335883,0.6343404281945576
external,patient,MIMIC-IV,MIMIC-III,next_aki_progression,demographic,17355,0.5107659063904592,0.5312051977124171
external,patient,MIMIC-IV,MIMIC-III,next_aki_progression,xgboost,17355,0.5310117495632187,0.5489220963445874
external,patient,MIMIC-IV,MIMIC-III,next_aki_progression,random_transformer,17355,0.5268689968628584,0.5460114952253926
external,patient,MIMIC-IV,MIMIC-III,next_aki_progression,semantic_transformer,17355,0.529491603110158,0.5494502735987429
external,patient,MIMIC-IV,MIMIC-III,next_aki_stage2plus,demographic,17355,0.5229037894504925,0.5410147528435943
