source_database,target_database,model,uncertainty_unit,mean_auroc_lo,mean_auroc_hi,bootstrap_reps,fraction,n_source_patients,n_source_episodes
MIMIC-IV (development),MIMIC-IV (internal test),xgboost,target episode,0.6076263908977338,0.6302914221633061,200,0.1,2009,2324
MIMIC-IV (development),MIMIC-IV (internal test),semantic_transformer,target episode,0.6024983936932239,0.6252609639722878,200,0.1,2009,2324
MIMIC-IV (development),MIMIC-IV (internal test),xgboost,target episode,0.6371186969000248,0.6646962215940279,200,0.25,5024,5849
MIMIC-IV (development),MIMIC-IV (internal test),semantic_transformer,target episode,0.6140356297154765,0.6384407615966822,200,0.25,5024,5849
MIMIC-IV (development),MIMIC-IV (internal test),xgboost,target episode,0.6553416312233676,0.6802357957131153,200,0.5,10048,11713
MIMIC-IV (development),MIMIC-IV (internal test),semantic_transformer,target episode,0.6369432680090761,0.6636420599271224,200,0.5,10048,11713
MIMIC-IV (development),MIMIC-IV (internal test),xgboost,target episode,0.6646960882251296,0.6924104755233685,200,1.0,20097,23380
MIMIC-IV (development),MIMIC-IV (internal test),semantic_transformer,target episode,0.6534177631811414,0.6806779198440764,200,1.0,20097,23380
MIMIC-IV,MIMIC-III,xgboost,target episode,0.5771964363751154,0.5905728083918002,200,0.1,2512,2930
MIMIC-IV,MIMIC-III,semantic_transformer,target episode,0.5756587135498782,0.5901228836895928,200,0.1,2512,2930
MIMIC-IV,MIMIC-III,xgboost,target episode,0.5962765364387647,0.6117402853864644,200,0.25,6280,7340
MIMIC-IV,MIMIC-III,semantic_transformer,target episode,0.5915239524519836,0.6053879308186518,200,0.25,6280,7340
MIMIC-IV,MIMIC-III,xgboost,target episode,0.6025300940167235,0.6155285150529292,200,0.5,12561,14687
MIMIC-IV,MIMIC-III,semantic_transformer,target episode,0.5901897140808157,0.6024749641354646,200,0.5,12561,14687
MIMIC-IV,MIMIC-III,xgboost,target episode,0.6043926853052376,0.6178320839255099,200,1.0,25122,29267
MIMIC-IV,MIMIC-III,semantic_transformer,target episode,0.5924447233985746,0.6064228205276556,200,1.0,25122,29267
MIMIC-IV,eICU,xgboost,target episode,0.5323500662033702,0.5441872957210583,200,0.1,2512,2966
MIMIC-IV,eICU,semantic_transformer,target episode,0.5621393532061565,0.5764611285209813,200,0.1,2512,2966
MIMIC-IV,eICU,xgboost,target episode,0.5421695351590361,0.5541739637714186,200,0.25,6280,7371
MIMIC-IV,eICU,semantic_transformer,target episode,0.567596892015867,0.5816978319593535,200,0.25,6280,7371
MIMIC-IV,eICU,xgboost,target episode,0.5398134271438674,0.5525436816255745,200,0.5,12561,14713
MIMIC-IV,eICU,semantic_transformer,target episode,0.5715033408455752,0.583896248091833,200,0.5,12561,14713
MIMIC-IV,eICU,xgboost,target episode,0.5425417138496487,0.5558729856964548,200,1.0,25122,29267
MIMIC-IV,eICU,semantic_transformer,target episode,0.5675131591593418,0.5801769295943046,200,1.0,25122,29267
