source_database,target_database,model,fraction,n_source_patients,n_source_episodes,mean_auroc,mean_average_precision
MIMIC-IV (development),MIMIC-IV (internal test),xgboost,0.1,2009,2324,0.6193319682169357,0.23787525342838783
MIMIC-IV (development),MIMIC-IV (internal test),semantic_transformer,0.1,2009,2324,0.6150564966783174,0.18929829806322648
MIMIC-IV (development),MIMIC-IV (internal test),xgboost,0.25,5024,5849,0.6498065978047615,0.2836432238120809
MIMIC-IV (development),MIMIC-IV (internal test),semantic_transformer,0.25,5024,5849,0.6261733475719493,0.23212260000823096
MIMIC-IV (development),MIMIC-IV (internal test),xgboost,0.5,10048,11713,0.6685222034160048,0.302045505771705
MIMIC-IV (development),MIMIC-IV (internal test),semantic_transformer,0.5,10048,11713,0.6520857354039883,0.2901658269289342
MIMIC-IV (development),MIMIC-IV (internal test),xgboost,1.0,20097,23380,0.678574726299029,0.3126021205852945
MIMIC-IV (development),MIMIC-IV (internal test),semantic_transformer,1.0,20097,23380,0.6680516735891419,0.3122006875983295
MIMIC-IV,MIMIC-III,xgboost,0.1,2512,2930,0.5832537501250175,0.2016517659814387
MIMIC-IV,MIMIC-III,semantic_transformer,0.1,2512,2930,0.5820177891115977,0.18457143896106568
MIMIC-IV,MIMIC-III,xgboost,0.25,6280,7340,0.6038647025333905,0.2267924318735756
MIMIC-IV,MIMIC-III,semantic_transformer,0.25,6280,7340,0.5988388162184779,0.21374539352613908
MIMIC-IV,MIMIC-III,xgboost,0.5,12561,14687,0.6092409965127346,0.22856907781323788
MIMIC-IV,MIMIC-III,semantic_transformer,0.5,12561,14687,0.5965732409319207,0.21544230354664076
MIMIC-IV,MIMIC-III,xgboost,1.0,25122,29267,0.610921996733105,0.2306100927936808
MIMIC-IV,MIMIC-III,semantic_transformer,1.0,25122,29267,0.5993827710147981,0.21848183128274848
MIMIC-IV,eICU,xgboost,0.1,2512,2966,0.5374641297664328,0.1963825001927286
MIMIC-IV,eICU,semantic_transformer,0.1,2512,2966,0.5688989315778342,0.2172552189464644
MIMIC-IV,eICU,xgboost,0.25,6280,7371,0.5478155456273275,0.198978447200378
MIMIC-IV,eICU,semantic_transformer,0.25,6280,7371,0.5741860060556173,0.2391100745880846
MIMIC-IV,eICU,xgboost,0.5,12561,14713,0.5460888209030329,0.19926418920142344
MIMIC-IV,eICU,semantic_transformer,0.5,12561,14713,0.57771334017612,0.24100456319024394
MIMIC-IV,eICU,xgboost,1.0,25122,29267,0.5498759099950389,0.20008571115678803
MIMIC-IV,eICU,semantic_transformer,1.0,25122,29267,0.5745204514007435,0.2478315824236544
