evaluation,source_database,target_database,model,endpoint,n,event_rate,auroc,average_precision,brier,ece_10bin
adaptation,MIMIC-III,eICU,target_trained,next_aki_progression,16890,0.10953226761397276,0.5529500610983324,0.12257333052760741,0.0972638875246048,0.0037108242004456867
adaptation,MIMIC-III,eICU,target_trained,next_aki_stage2plus,16890,0.442687981053878,0.5407040743850744,0.4800170751777,0.24757784605026245,0.046300579267821405
adaptation,MIMIC-III,eICU,target_trained,next_aki_stage3,16890,0.15748963883955003,0.6081778145292958,0.26489989680876797,0.12955811619758606,0.025241277043532878
adaptation,MIMIC-III,eICU,target_trained,hospital_death,16890,0.1261101243339254,0.6384234449152003,0.214773425950662,0.10734237730503082,0.013753142554584234
adaptation,MIMIC-III,eICU,target_trained,icu_death,16888,0.07804358124111796,0.6423607273627449,0.15371298472022377,0.0703602060675621,0.011045224974545145
adaptation,MIMIC-III,eICU,source_to_target_finetuned,next_aki_progression,16890,0.10953226761397276,0.49662498202990224,0.10955321295269962,0.09853439033031464,0.02268163525472385
adaptation,MIMIC-III,eICU,source_to_target_finetuned,next_aki_stage2plus,16890,0.442687981053878,0.5358705256266532,0.4909312736210864,0.2467345893383026,0.04184707530579531
adaptation,MIMIC-III,eICU,source_to_target_finetuned,next_aki_stage3,16890,0.15748963883955003,0.5940414194305158,0.27791927026546803,0.1308642476797104,0.06623459019499148
adaptation,MIMIC-III,eICU,source_to_target_finetuned,hospital_death,16890,0.1261101243339254,0.6168841686069443,0.20366305130016932,0.10856623947620392,0.032309513381594664
adaptation,MIMIC-III,eICU,source_to_target_finetuned,icu_death,16888,0.07804358124111796,0.5942997408541191,0.13346664909578515,0.07104221731424332,0.014101021416213543
adaptation,MIMIC-IV,eICU,target_trained,next_aki_progression,16912,0.10915326395458846,0.5352118968341393,0.12135359268091929,0.09779908508062363,0.02636899732497354
adaptation,MIMIC-IV,eICU,target_trained,next_aki_stage2plus,16912,0.4413434247871334,0.5233626983894696,0.46662105099294326,0.24717393517494202,0.025075223108325356
adaptation,MIMIC-IV,eICU,target_trained,next_aki_stage3,16912,0.15651608325449384,0.5941994395840724,0.243001617472661,0.12967389822006226,0.026294138268439862
adaptation,MIMIC-IV,eICU,target_trained,hospital_death,16912,0.12482261116367077,0.6270047304663471,0.18590362786780742,0.10720788687467575,0.017400647091962117
adaptation,MIMIC-IV,eICU,target_trained,icu_death,16910,0.07705499704316972,0.6309304850269628,0.12543534933791234,0.07001081854104996,0.009337978424545154
adaptation,MIMIC-IV,eICU,source_to_target_finetuned,next_aki_progression,16912,0.10915326395458846,0.5114216120072044,0.11454019660140019,0.09778104722499847,0.013436150879844988
adaptation,MIMIC-IV,eICU,source_to_target_finetuned,next_aki_stage2plus,16912,0.4413434247871334,0.5268362299353011,0.48014076471579203,0.2459758073091507,0.02203630879274664
adaptation,MIMIC-IV,eICU,source_to_target_finetuned,next_aki_stage3,16912,0.15651608325449384,0.5729220932876282,0.26047262800273374,0.12945818901062012,0.04030240160371673
adaptation,MIMIC-IV,eICU,source_to_target_finetuned,hospital_death,16912,0.12482261116367077,0.6639197179982366,0.2508105788303481,0.10360885411500931,0.00793469575909561
adaptation,MIMIC-IV,eICU,source_to_target_finetuned,icu_death,16910,0.07705499704316972,0.6687524995794387,0.18124150804451936,0.06788896769285202,0.002286052652747588
