source_database,target_database,ablation,auroc,full_auroc,delta_auroc_vs_full
MIMIC-III,eICU,no_kdigo,0.5909717164839046,0.7297779171884652,-0.13880620070456062
MIMIC-III,eICU,no_creatinine,0.7203058393933062,0.7297779171884652,-0.009472077795159017
MIMIC-III,eICU,no_prior_trend,0.7290739353260346,0.7297779171884652,-0.0007039818624305916
MIMIC-III,eICU,no_missingness,0.7300266501019036,0.7297779171884652,0.00024873291343840975
MIMIC-III,eICU,no_labs,0.6911521620549943,0.7297779171884652,-0.038625755133470885
MIMIC-IV,eICU,no_kdigo,0.6000099181753472,0.7379638785106954,-0.13795396033534824
MIMIC-IV,eICU,no_creatinine,0.7283639896318638,0.7379638785106954,-0.009599888878831675
MIMIC-IV,eICU,no_prior_trend,0.7382468961120194,0.7379638785106954,0.0002830176013239871
MIMIC-IV,eICU,no_missingness,0.736886672419561,0.7379638785106954,-0.001077206091134486
MIMIC-IV,eICU,no_labs,0.6941146881272948,0.7379638785106954,-0.04384919038340063
