source_database,target_database,model,endpoint,bin_mean_prediction,bin_event_rate,n
MIMIC-III,MIMIC-IV,kdigo_lookup,next_aki_progression,0.1614606315886362,0.14128540677213244,29267
MIMIC-III,MIMIC-IV,kdigo_lookup,next_aki_stage2_onset,0.1886588553165431,0.16400719856028795,25005
MIMIC-III,MIMIC-IV,kdigo_lookup,next_aki_stage3_onset,0.0028390734003841366,0.0058689620829479976,28114
MIMIC-III,MIMIC-IV,kdigo_lookup,hospital_death,0.14106149230192225,0.12157036935797998,29267
MIMIC-III,MIMIC-IV,kdigo_lookup,icu_death,0.09716575599711184,0.0815733716082291,29262
MIMIC-III,MIMIC-IV,state_logistic,next_aki_progression,0.018888300585744727,0.005466347796378545,2927
MIMIC-III,MIMIC-IV,state_logistic,next_aki_progression,0.05563578806081892,0.07345404851383669,2927
MIMIC-III,MIMIC-IV,state_logistic,next_aki_progression,0.11549191362264624,0.10833902939166097,2926
MIMIC-III,MIMIC-IV,state_logistic,next_aki_progression,0.1403107620778245,0.13734198838401093,2927
MIMIC-III,MIMIC-IV,state_logistic,next_aki_progression,0.1606986835257853,0.15134950461223096,2927
MIMIC-III,MIMIC-IV,state_logistic,next_aki_progression,0.17772937291546873,0.16267942583732056,2926
MIMIC-III,MIMIC-IV,state_logistic,next_aki_progression,0.1928059282993594,0.16159890673044072,2927
MIMIC-III,MIMIC-IV,state_logistic,next_aki_progression,0.20801924020866783,0.17737525632262474,2926
MIMIC-III,MIMIC-IV,state_logistic,next_aki_progression,0.22661532476406926,0.20225486846600615,2927
MIMIC-III,MIMIC-IV,state_logistic,next_aki_progression,0.26218678927234224,0.23300307482063545,2927
MIMIC-III,MIMIC-IV,state_logistic,next_aki_stage2_onset,0.11531615508843164,0.11835265893642544,2501
MIMIC-III,MIMIC-IV,state_logistic,next_aki_stage2_onset,0.1414196028828621,0.1148,2500
MIMIC-III,MIMIC-IV,state_logistic,next_aki_stage2_onset,0.15717575959161204,0.13434626149540185,2501
MIMIC-III,MIMIC-IV,state_logistic,next_aki_stage2_onset,0.17011120890378953,0.1548,2500
MIMIC-III,MIMIC-IV,state_logistic,next_aki_stage2_onset,0.1810957528814608,0.15833666533386645,2501
MIMIC-III,MIMIC-IV,state_logistic,next_aki_stage2_onset,0.19067540492415427,0.1544,2500
MIMIC-III,MIMIC-IV,state_logistic,next_aki_stage2_onset,0.19981109833717345,0.176,2500
MIMIC-III,MIMIC-IV,state_logistic,next_aki_stage2_onset,0.20982927506397075,0.18872451019592162,2501
MIMIC-III,MIMIC-IV,state_logistic,next_aki_stage2_onset,0.22183419045209885,0.2036,2500
MIMIC-III,MIMIC-IV,state_logistic,next_aki_stage2_onset,0.24577253862697093,0.23670531787285087,2501
MIMIC-III,MIMIC-IV,state_logistic,next_aki_stage3_onset,0.0012097992480713954,0.0,2812
MIMIC-III,MIMIC-IV,state_logistic,next_aki_stage3_onset,0.0013192484962625732,0.0017787264318747777,2811
MIMIC-III,MIMIC-IV,state_logistic,next_aki_stage3_onset,0.0015185951500516803,0.0021344717182497333,2811
MIMIC-III,MIMIC-IV,state_logistic,next_aki_stage3_onset,0.0018525087195703598,0.003200568990042674,2812
MIMIC-III,MIMIC-IV,state_logistic,next_aki_stage3_onset,0.002225135124547918,0.004268943436499467,2811
MIMIC-III,MIMIC-IV,state_logistic,next_aki_stage3_onset,0.00254923953982524,0.0021344717182497333,2811
MIMIC-III,MIMIC-IV,state_logistic,next_aki_stage3_onset,0.00290000523550828,0.0035561877667140826,2812
MIMIC-III,MIMIC-IV,state_logistic,next_aki_stage3_onset,0.0034088251107726518,0.008537886872998933,2811
MIMIC-III,MIMIC-IV,state_logistic,next_aki_stage3_onset,0.004287144270262041,0.010672358591248666,2811
MIMIC-III,MIMIC-IV,state_logistic,next_aki_stage3_onset,0.006383008875713219,0.02240398293029872,2812
MIMIC-III,MIMIC-IV,state_logistic,hospital_death,0.03602969586571757,0.02869832593098736,2927
MIMIC-III,MIMIC-IV,state_logistic,hospital_death,0.05090766318389325,0.05124701059104886,2927
MIMIC-III,MIMIC-IV,state_logistic,hospital_death,0.0628525529181558,0.059125085440874914,2926
MIMIC-III,MIMIC-IV,state_logistic,hospital_death,0.07532500234334837,0.07823710283566791,2927
MIMIC-III,MIMIC-IV,state_logistic,hospital_death,0.0897408512022905,0.08267851042022549,2927
MIMIC-III,MIMIC-IV,state_logistic,hospital_death,0.10777772308383914,0.09398496240601503,2926
MIMIC-III,MIMIC-IV,state_logistic,hospital_death,0.13131339990587662,0.11103518961393918,2927
MIMIC-III,MIMIC-IV,state_logistic,hospital_death,0.16532184472861391,0.13602187286397813,2926
MIMIC-III,MIMIC-IV,state_logistic,hospital_death,0.22600561791224655,0.19952169456781688,2927
MIMIC-III,MIMIC-IV,state_logistic,hospital_death,0.4109854907113047,0.3751281175264776,2927
MIMIC-III,MIMIC-IV,state_logistic,icu_death,0.02068855201009041,0.01093269559275709,2927
MIMIC-III,MIMIC-IV,state_logistic,icu_death,0.029163324980807866,0.029723266142808336,2927
MIMIC-III,MIMIC-IV,state_logistic,icu_death,0.03601034326431079,0.031794871794871796,2925
MIMIC-III,MIMIC-IV,state_logistic,icu_death,0.04355312997165887,0.036568694463431306,2926
MIMIC-III,MIMIC-IV,state_logistic,icu_death,0.052952854138476266,0.04647983595352016,2926
MIMIC-III,MIMIC-IV,state_logistic,icu_death,0.06550756038910749,0.056049213943950786,2926
MIMIC-III,MIMIC-IV,state_logistic,icu_death,0.08406469591282771,0.07382091592617908,2926
MIMIC-III,MIMIC-IV,state_logistic,icu_death,0.1129748371982933,0.08475734791524266,2926
MIMIC-III,MIMIC-IV,state_logistic,icu_death,0.16930592916167442,0.13773069036226931,2926
MIMIC-III,MIMIC-IV,state_logistic,icu_death,0.342137705599606,0.3078237102835668,2927
MIMIC-III,MIMIC-IV,state_xgboost,next_aki_progression,0.0250342696457134,0.005466347796378545,2927
MIMIC-III,MIMIC-IV,state_xgboost,next_aki_progression,0.05051235984889953,0.05329689101469081,2927
MIMIC-III,MIMIC-IV,state_xgboost,next_aki_progression,0.10593237383870417,0.11414900888585099,2926
MIMIC-III,MIMIC-IV,state_xgboost,next_aki_progression,0.13995281313165772,0.12333447215579091,2927
MIMIC-III,MIMIC-IV,state_xgboost,next_aki_progression,0.16498469600793156,0.15989067304407242,2927
MIMIC-III,MIMIC-IV,state_xgboost,next_aki_progression,0.18279389511675487,0.16194055346771438,2927
MIMIC-III,MIMIC-IV,state_xgboost,next_aki_progression,0.19765684831065017,0.1695146958304853,2926
MIMIC-III,MIMIC-IV,state_xgboost,next_aki_progression,0.21198291030043376,0.18557758031442242,2926
MIMIC-III,MIMIC-IV,state_xgboost,next_aki_progression,0.2287989293944522,0.20806286299965834,2927
MIMIC-III,MIMIC-IV,state_xgboost,next_aki_progression,0.2605023994751664,0.2316364878715408,2927
