source_database,target_database,model,endpoint,cluster_unit,n_clusters,bootstrap_reps,auroc_lo,auroc_hi
MIMIC-III,eICU,kdigo_lookup,next_aki_progression,hospital,138,1000,0.6518546954350518,0.6872675846115165
MIMIC-III,eICU,kdigo_lookup,next_aki_stage2_onset,hospital,138,1000,0.5,0.5
MIMIC-III,eICU,kdigo_lookup,next_aki_stage3_onset,hospital,138,1000,0.3360273147363896,0.4056569371508931
MIMIC-III,eICU,kdigo_lookup,hospital_death,hospital,138,1000,0.4329135140402217,0.4591536907273512
MIMIC-III,eICU,kdigo_lookup,icu_death,hospital,138,1000,0.42612863641500165,0.456471398263049
MIMIC-III,eICU,state_logistic,next_aki_progression,hospital,138,1000,0.6941944346566356,0.7286750701945457
MIMIC-III,eICU,state_logistic,next_aki_stage2_onset,hospital,138,1000,0.5477676939965337,0.5865808816555113
MIMIC-III,eICU,state_logistic,next_aki_stage3_onset,hospital,138,1000,0.6380141329051742,0.7289978369118275
MIMIC-III,eICU,state_logistic,hospital_death,hospital,138,1000,0.7209730151276539,0.7495286543457597
MIMIC-III,eICU,state_logistic,icu_death,hospital,138,1000,0.7429542449765787,0.7855089684367312
MIMIC-III,eICU,state_xgboost,next_aki_progression,hospital,138,1000,0.707876829361992,0.7466417167945222
MIMIC-III,eICU,state_xgboost,next_aki_stage2_onset,hospital,138,1000,0.5691501599182579,0.6109641333721384
MIMIC-III,eICU,state_xgboost,next_aki_stage3_onset,hospital,138,1000,0.5720077463577323,0.664667947501532
MIMIC-III,eICU,state_xgboost,hospital_death,hospital,138,1000,0.7603441144218677,0.7833855444996668
MIMIC-III,eICU,state_xgboost,icu_death,hospital,138,1000,0.7849154749342209,0.8149594845500844
MIMIC-IV,eICU,kdigo_lookup,next_aki_progression,hospital,138,1000,0.6518546954350518,0.6872675846115165
MIMIC-IV,eICU,kdigo_lookup,next_aki_stage2_onset,hospital,138,1000,0.5,0.5
MIMIC-IV,eICU,kdigo_lookup,next_aki_stage3_onset,hospital,138,1000,0.3360273147363896,0.4056569371508931
MIMIC-IV,eICU,kdigo_lookup,hospital_death,hospital,138,1000,0.5301581305628199,0.5471325896956226
MIMIC-IV,eICU,kdigo_lookup,icu_death,hospital,138,1000,0.5329380738991126,0.5586248975488086
MIMIC-IV,eICU,state_logistic,next_aki_progression,hospital,138,1000,0.702095368000243,0.7397124866988055
MIMIC-IV,eICU,state_logistic,next_aki_stage2_onset,hospital,138,1000,0.5642135146680197,0.6024282126500171
MIMIC-IV,eICU,state_logistic,next_aki_stage3_onset,hospital,138,1000,0.6280454434105206,0.7187842286005027
MIMIC-IV,eICU,state_logistic,hospital_death,hospital,138,1000,0.7181230395308537,0.7490663398315294
MIMIC-IV,eICU,state_logistic,icu_death,hospital,138,1000,0.7459108627219165,0.7911798156071124
MIMIC-IV,eICU,state_xgboost,next_aki_progression,hospital,138,1000,0.7160153590888996,0.7541198645963008
MIMIC-IV,eICU,state_xgboost,next_aki_stage2_onset,hospital,138,1000,0.5918980464946393,0.6337808025059494
MIMIC-IV,eICU,state_xgboost,next_aki_stage3_onset,hospital,138,1000,0.5660288312199395,0.6618663787841247
MIMIC-IV,eICU,state_xgboost,hospital_death,hospital,138,1000,0.7650712969983725,0.7869350902802744
MIMIC-IV,eICU,state_xgboost,icu_death,hospital,138,1000,0.7908294522601805,0.8223666450415631
