source_database,target_database,model,endpoint,cluster_unit,n_clusters,bootstrap_reps,auroc_lo,auroc_hi
MIMIC-III,MIMIC-IV,kdigo_lookup,next_aki_progression,patient,25122,1000,0.5774838994307125,0.5829421708183126
MIMIC-III,MIMIC-IV,kdigo_lookup,next_aki_stage2_onset,patient,25122,1000,0.5,0.5
MIMIC-III,MIMIC-IV,kdigo_lookup,next_aki_stage3_onset,patient,25122,1000,0.4198783111732545,0.4820078049868726
MIMIC-III,MIMIC-IV,kdigo_lookup,hospital_death,patient,25122,1000,0.4822017996473009,0.4938298203007054
MIMIC-III,MIMIC-IV,kdigo_lookup,icu_death,patient,25122,1000,0.4815779061122427,0.49532072222181445
MIMIC-III,MIMIC-IV,state_logistic,next_aki_progression,patient,25122,1000,0.632322733412026,0.6494347350518327
MIMIC-III,MIMIC-IV,state_logistic,next_aki_stage2_onset,patient,25122,1000,0.564472208107254,0.5845677504640961
MIMIC-III,MIMIC-IV,state_logistic,next_aki_stage3_onset,patient,25122,1000,0.7277976046458636,0.7986305091934918
MIMIC-III,MIMIC-IV,state_logistic,hospital_death,patient,25122,1000,0.7139938073638223,0.7329344008389401
MIMIC-III,MIMIC-IV,state_logistic,icu_death,patient,25122,1000,0.7503492109967199,0.7718918904987984
MIMIC-III,MIMIC-IV,state_xgboost,next_aki_progression,patient,25122,1000,0.6441552670309351,0.660049974145258
MIMIC-III,MIMIC-IV,state_xgboost,next_aki_stage2_onset,patient,25122,1000,0.5799940727042859,0.5991917823430084
MIMIC-III,MIMIC-IV,state_xgboost,next_aki_stage3_onset,patient,25122,1000,0.6901503627597704,0.7670843457601144
MIMIC-III,MIMIC-IV,state_xgboost,hospital_death,patient,25122,1000,0.7600118484144154,0.7763575107519199
MIMIC-III,MIMIC-IV,state_xgboost,icu_death,patient,25122,1000,0.7964857193597731,0.8152854748955533
MIMIC-III,eICU,kdigo_lookup,next_aki_progression,patient,17491,1000,0.6655067467515038,0.6760155313422584
MIMIC-III,eICU,kdigo_lookup,next_aki_stage2_onset,patient,17491,1000,0.5,0.5
MIMIC-III,eICU,kdigo_lookup,next_aki_stage3_onset,patient,17491,1000,0.3317648024261922,0.41015673323319574
MIMIC-III,eICU,kdigo_lookup,hospital_death,patient,17491,1000,0.4380168078698167,0.4557513224087577
MIMIC-III,eICU,kdigo_lookup,icu_death,patient,17491,1000,0.4311360407253717,0.45206865453610007
MIMIC-III,eICU,state_logistic,next_aki_progression,patient,17491,1000,0.7036743427612442,0.7232291640458007
MIMIC-III,eICU,state_logistic,next_aki_stage2_onset,patient,17491,1000,0.5545949810145768,0.5844026935426827
MIMIC-III,eICU,state_logistic,next_aki_stage3_onset,patient,17491,1000,0.6424741626601511,0.7272982159903226
MIMIC-III,eICU,state_logistic,hospital_death,patient,17491,1000,0.7238735451920723,0.7472253647666743
MIMIC-III,eICU,state_logistic,icu_death,patient,17491,1000,0.7505082341655969,0.7791956740972652
MIMIC-III,eICU,state_xgboost,next_aki_progression,patient,17491,1000,0.719877360436072,0.7396640424135111
MIMIC-III,eICU,state_xgboost,next_aki_stage2_onset,patient,17491,1000,0.5784950044738251,0.6060625803832368
MIMIC-III,eICU,state_xgboost,next_aki_stage3_onset,patient,17491,1000,0.5722177182355282,0.6626136356813764
MIMIC-III,eICU,state_xgboost,hospital_death,patient,17491,1000,0.7628178645409333,0.7832975823293005
MIMIC-III,eICU,state_xgboost,icu_death,patient,17491,1000,0.7862858953284926,0.8106489769535413
MIMIC-IV,MIMIC-III,kdigo_lookup,next_aki_progression,patient,17355,1000,0.5613096130501459,0.5673980025699971
MIMIC-IV,MIMIC-III,kdigo_lookup,next_aki_stage2_onset,patient,17355,1000,0.5,0.5
MIMIC-IV,MIMIC-III,kdigo_lookup,next_aki_stage3_onset,patient,17355,1000,0.406360755485774,0.4824862834024115
MIMIC-IV,MIMIC-III,kdigo_lookup,hospital_death,patient,17355,1000,0.5022048427903151,0.5134953762119172
MIMIC-IV,MIMIC-III,kdigo_lookup,icu_death,patient,17355,1000,0.5017702537687997,0.5151400006815022
MIMIC-IV,MIMIC-III,state_logistic,next_aki_progression,patient,17355,1000,0.6206382516923347,0.6399244797485663
MIMIC-IV,MIMIC-III,state_logistic,next_aki_stage2_onset,patient,17355,1000,0.5666279973465363,0.5885453796397144
MIMIC-IV,MIMIC-III,state_logistic,next_aki_stage3_onset,patient,17355,1000,0.7184516674172473,0.8172113043682567
MIMIC-IV,MIMIC-III,state_logistic,hospital_death,patient,17355,1000,0.6864993865005866,0.7092169189877191
MIMIC-IV,MIMIC-III,state_logistic,icu_death,patient,17355,1000,0.7156483822636825,0.7412613760371195
MIMIC-IV,MIMIC-III,state_xgboost,next_aki_progression,patient,17355,1000,0.6425558940696119,0.6617367984321781
MIMIC-IV,MIMIC-III,state_xgboost,next_aki_stage2_onset,patient,17355,1000,0.5937741774703177,0.6148500730818254
MIMIC-IV,MIMIC-III,state_xgboost,next_aki_stage3_onset,patient,17355,1000,0.7083281171691633,0.8102367860128664
MIMIC-IV,MIMIC-III,state_xgboost,hospital_death,patient,17355,1000,0.7433832641519705,0.7633475949149725
