source_database,target_database,model,endpoint,n,event_rate,auroc,average_precision,brier,ece_10bin,calibration_intercept,calibration_slope,source_selected_threshold,sensitivity,specificity,ppv,npv,semantic_auroc,semantic_average_precision,delta_auroc_vs_semantic
MIMIC-III,MIMIC-IV,kdigo_lookup,next_aki_progression,29267,0.14128540677213244,0.5801932375052468,0.16386801274125373,0.11881496642571476,0.020175224816503745,-0.607420139882444,0.6996180391349462,0.18858011900845856,0.9917775090689238,0.16823173643164094,0.16400719856028795,0.992022524636321,0.5261352826122812,0.1532241877051416,0.05405795489296561
MIMIC-III,MIMIC-IV,kdigo_lookup,next_aki_stage2_onset,25005,0.16400719856028795,0.5,0.16400719856028795,0.13771654156152244,0.024651656756255164,-0.5207087858836702,0.7595830179004934,0.18865885531654314,1.0,0.0,0.16400719856028795,0.0,,,
MIMIC-III,MIMIC-IV,kdigo_lookup,next_aki_stage3_onset,28114,0.0058689620829479976,0.45198060970360515,0.00536877242589298,0.005843698462636553,0.003029888682563861,-0.14513408066132208,0.8506895576258862,0.0028383828305597937,1.0,0.0,0.0058689620829479976,0.0,,,
MIMIC-III,MIMIC-IV,kdigo_lookup,hospital_death,29267,0.12157036935797998,0.48786591030483417,0.11801283521060028,0.10717618830736592,0.01949112294394227,-0.4639173043540622,0.8378949181074564,0.14096903180835152,1.0,0.0,0.12157036935797998,0.0,0.6607671145580587,0.2364162706129881,-0.17290120425322453
MIMIC-III,MIMIC-IV,kdigo_lookup,icu_death,29262,0.0815733716082291,0.4884636198010541,0.0789837846004412,0.0751644538689964,0.015592384388882746,-0.40561919757691683,0.9041061017551587,0.09712800511248466,1.0,0.0,0.0815733716082291,0.0,0.6611286406017088,0.1758435844924438,-0.1726650208006547
MIMIC-III,MIMIC-IV,state_logistic,next_aki_progression,29267,0.14128540677213244,0.6406455847827222,0.20305632275593122,0.11768950760928913,0.018115668589883206,-0.16119537273055173,0.9730419811561202,0.14653354823589326,0.7917775090689239,0.4052204360974057,0.17967292284052244,0.9220461747397012,0.5261352826122812,0.1532241877051416,0.114510302170441
MIMIC-III,MIMIC-IV,state_logistic,next_aki_stage2_onset,25005,0.16400719856028795,0.5740895806078307,0.2042733896893828,0.13627970849334162,0.019904029138581414,-0.16893311042786446,0.9775897005209803,0.16170141100883484,0.792489636673982,0.2963547646383467,0.1809677598975444,0.8792222537609992,,,
MIMIC-III,MIMIC-IV,state_logistic,next_aki_stage3_onset,28114,0.0058689620829479976,0.7627023030042815,0.04531880701794092,0.005822423812650048,0.003428518687374857,6.33933997273128,1.9945657620869202,0.006752368877641854,0.2606060606060606,0.9710544205517192,0.05046948356807512,0.9955249064632089,,,
MIMIC-III,MIMIC-IV,state_logistic,hospital_death,29267,0.12157036935797998,0.7236226266696499,0.33250435323172534,0.09586921342431064,0.01470839447135751,-0.1507769798071224,0.993210596432789,0.14211429953575133,0.5986509274873525,0.7281496752110156,0.23357824322842416,0.9291244788564622,0.6607671145580587,0.2364162706129881,0.06285551211159124
MIMIC-III,MIMIC-IV,state_logistic,icu_death,29262,0.0815733716082291,0.7614717861283504,0.30283153076830016,0.06664652043542907,0.014180169218366791,-0.13490281239898957,1.0324740597620712,0.11501110821962357,0.598659405111018,0.7893581395348838,0.2015514809590973,0.9567923507126105,0.6611286406017088,0.1758435844924438,0.10034314552664159
