database,state_column,state_name,n,observed_n,missing_rate,median,q25,q75
MIMIC-III,s_0,heart_rate,20108,20001,0.005321265168092302,83.8,73.0,96.0
MIMIC-III,s_1,systolic_bp,20108,19861,0.012283668191764472,113.75,103.0,127.8
MIMIC-III,s_2,diastolic_bp,20108,19861,0.012283668191764472,58.0,50.833333333333336,66.5
MIMIC-III,s_3,mean_arterial_pressure,20108,19813,0.014670777799880644,74.25,67.2,83.5
MIMIC-III,s_4,respiratory_rate,20108,19895,0.010592798886015517,18.5,15.666666666666666,21.8
MIMIC-III,s_5,spo2,20108,19806,0.015018897951064253,97.5,95.75,99.0
MIMIC-III,s_6,temperature,20108,18083,0.10070618659240103,36.888888888888886,36.388888888888886,37.44221172332763
MIMIC-III,s_7,creatinine,20108,7973,0.6034911478018699,1.1,0.8,1.6
MIMIC-III,s_8,lactate,20108,3148,0.8434453948677143,2.0,1.3,3.3
MIMIC-III,s_9,white_blood_cells,20108,7142,0.6448179828923811,10.8,7.8,14.6
MIMIC-III,s_10,platelets,20108,7305,0.6367117565148199,185.0,131.0,252.0
MIMIC-III,s_11,bun,20108,7956,0.6043365824547444,20.0,14.0,33.0
MIMIC-III,s_12,current_kdigo_stage,20108,20108,0.0,1.0,1.0,1.0
MIMIC-III,s_13,predecision_vasopressor,20108,19453,0.03257409986075194,0.0,0.0,0.0
MIMIC-III,s_14,prior_aki_trend,20108,20108,0.0,0.0,0.0,0.0
MIMIC-IV,s_0,heart_rate,29267,29123,0.004920217309597841,82.5,71.5,95.5
MIMIC-IV,s_1,systolic_bp,29267,28650,0.021081764444596304,113.5,102.5,127.0
MIMIC-IV,s_2,diastolic_bp,29267,28649,0.021115932620357398,60.0,52.0,68.5
MIMIC-IV,s_3,mean_arterial_pressure,29267,28637,0.021525950729490553,74.5,67.0,83.5
MIMIC-IV,s_4,respiratory_rate,29267,29031,0.008063689479618684,18.5,16.0,22.0
MIMIC-IV,s_5,spo2,29267,28977,0.009908770970717873,97.0,95.0,99.0
MIMIC-IV,s_6,temperature,29267,25845,0.1169234974544709,36.833333333333336,36.55555555555556,37.16666666666666
MIMIC-IV,s_7,creatinine,29267,11674,0.601120716164964,1.1,0.8,1.6
MIMIC-IV,s_8,lactate,29267,5770,0.8028496258584754,2.0,1.4,3.3
MIMIC-IV,s_9,white_blood_cells,29267,10685,0.634913041992688,10.8,7.7,14.8
MIMIC-IV,s_10,platelets,29267,10818,0.6303686746164622,173.0,122.0,240.0
MIMIC-IV,s_11,bun,29267,11651,0.6019065842074691,20.0,14.0,33.0
MIMIC-IV,s_12,current_kdigo_stage,29267,29267,0.0,1.0,1.0,1.0
MIMIC-IV,s_13,predecision_vasopressor,29267,27872,0.04766460518672908,0.0,0.0,0.0
MIMIC-IV,s_14,prior_aki_trend,29267,29267,0.0,0.0,0.0,0.0
eICU,s_0,heart_rate,18776,18426,0.01864081806561568,83.20833333333333,71.45833333333333,96.39261968085104
eICU,s_1,systolic_bp,18776,18300,0.025351512569237324,116.5,103.66666666666669,132.95833333333334
eICU,s_2,diastolic_bp,18776,18300,0.025351512569237324,62.333333333333336,54.17023809523809,72.0
eICU,s_3,mean_arterial_pressure,18776,18302,0.025244993608862377,78.16666666666667,69.2,89.0
eICU,s_4,respiratory_rate,18776,16135,0.14065828717511716,18.875,16.0,22.46153846153846
eICU,s_5,spo2,18776,17892,0.04708138048572646,96.92099792099792,95.0625,98.66666666666669
eICU,s_6,temperature,18776,16214,0.13645078824030676,36.78888888888889,36.5,37.144444444444446
eICU,s_7,creatinine,18776,7765,0.5864401363442693,1.36,0.9,2.2
eICU,s_8,lactate,18776,1825,0.902801448657861,2.3,1.3,4.5
eICU,s_9,white_blood_cells,18776,6552,0.6510438858116745,11.1,8.0,15.3
eICU,s_10,platelets,18776,6573,0.6499254367277375,174.0,122.0,236.0
eICU,s_11,bun,18776,7705,0.5896357051555177,25.0,16.0,41.0
eICU,s_12,current_kdigo_stage,18776,18776,0.0,1.0,1.0,2.0
eICU,s_13,predecision_vasopressor,18776,14527,0.22629953131657435,0.0,0.0,0.0
eICU,s_14,prior_aki_trend,18776,18776,0.0,0.0,0.0,0.0
eICU-original,s_0,heart_rate,18776,18426,0.01864081806561568,83.20833333333333,71.45833333333333,96.39261968085104
eICU-original,s_1,systolic_bp,18776,4105,0.7813698338304218,113.85416666666669,102.04651162790698,128.5
eICU-original,s_2,diastolic_bp,18776,4105,0.7813698338304218,56.270833333333336,49.41666666666666,64.31914893617021
eICU-original,s_3,mean_arterial_pressure,18776,4134,0.7798253089049851,74.73958333333334,67.54166666666667,84.328125
eICU-original,s_4,respiratory_rate,18776,16135,0.14065828717511716,18.875,16.0,22.46153846153846
eICU-original,s_5,spo2,18776,17892,0.04708138048572646,96.92099792099792,95.0625,98.66666666666669
eICU-original,s_6,temperature,18776,1390,0.925969322539412,37.07238541666666,36.43541666666666,37.65625
eICU-original,s_7,creatinine,18776,7765,0.5864401363442693,1.36,0.9,2.2
eICU-original,s_8,lactate,18776,1825,0.902801448657861,2.3,1.3,4.5
eICU-original,s_9,white_blood_cells,18776,6552,0.6510438858116745,11.1,8.0,15.3
eICU-original,s_10,platelets,18776,6573,0.6499254367277375,174.0,122.0,236.0
eICU-original,s_11,bun,18776,7705,0.5896357051555177,25.0,16.0,41.0
eICU-original,s_12,current_kdigo_stage,18776,18776,0.0,1.0,1.0,2.0
eICU-original,s_13,predecision_vasopressor,18776,14527,0.22629953131657435,0.0,0.0,0.0
eICU-original,s_14,prior_aki_trend,18776,18776,0.0,0.0,0.0,0.0
