mode,mode_class,uncertainty_unit,source_database,target_database,endpoint,model,n_clusters,bootstrap_reps_requested,bootstrap_reps_valid,auroc_lo,auroc_hi,delta_semantic_minus_model_lo,delta_semantic_minus_model_hi
medication_only,prespecified conservative timing sensitivity,episode,MIMIC-III + MIMIC-IV,eICU,next_aki_progression,demographic,18776,1000,1000,0.49495071265111196,0.5209218880690067,0.005807320980187612,0.035912283116296476
medication_only,prespecified conservative timing sensitivity,episode,MIMIC-III + MIMIC-IV,eICU,next_aki_progression,xgboost,18776,1000,1000,0.5131820353242545,0.5389451812676824,-0.008516167163848915,0.012899788828154266
medication_only,prespecified conservative timing sensitivity,episode,MIMIC-III + MIMIC-IV,eICU,next_aki_progression,random_transformer,18776,1000,1000,0.5101141015315546,0.5359944516265187,-0.006766018446835917,0.01726228562979224
medication_only,prespecified conservative timing sensitivity,episode,MIMIC-III + MIMIC-IV,eICU,next_aki_progression,semantic_transformer,18776,1000,1000,0.5156171434470834,0.5423316389166987,,
medication_only,prespecified conservative timing sensitivity,episode,MIMIC-III + MIMIC-IV,eICU,next_aki_stage2plus,demographic,18776,1000,1000,0.5186279636194469,0.5351710635440369,-0.029550053130207372,-0.012367297823423424
medication_only,prespecified conservative timing sensitivity,episode,MIMIC-III + MIMIC-IV,eICU,next_aki_stage2plus,xgboost,18776,1000,1000,0.5210622625823604,0.5377094012950593,-0.03172197765336886,-0.01470425905479413
medication_only,prespecified conservative timing sensitivity,episode,MIMIC-III + MIMIC-IV,eICU,next_aki_stage2plus,random_transformer,18776,1000,1000,0.5173894086607959,0.5342923754793871,-0.02876933724627503,-0.011715831197837272
medication_only,prespecified conservative timing sensitivity,episode,MIMIC-III + MIMIC-IV,eICU,next_aki_stage2plus,semantic_transformer,18776,1000,1000,0.4978059718019553,0.514541216882809,,
medication_only,prespecified conservative timing sensitivity,episode,MIMIC-III + MIMIC-IV,eICU,next_aki_stage3,demographic,18776,1000,1000,0.5330939993734346,0.5545280645976234,-0.017621660380361,0.004341604884088798
medication_only,prespecified conservative timing sensitivity,episode,MIMIC-III + MIMIC-IV,eICU,next_aki_stage3,xgboost,18776,1000,1000,0.543040488285289,0.5642327871940337,-0.026957081237376414,-0.007377290178750071
medication_only,prespecified conservative timing sensitivity,episode,MIMIC-III + MIMIC-IV,eICU,next_aki_stage3,random_transformer,18776,1000,1000,0.5382196656102909,0.5594827800310849,-0.021666903943456873,-0.0019229864475419482
medication_only,prespecified conservative timing sensitivity,episode,MIMIC-III + MIMIC-IV,eICU,next_aki_stage3,semantic_transformer,18776,1000,1000,0.5253713220247275,0.5484031463862337,,
medication_only,prespecified conservative timing sensitivity,episode,MIMIC-III + MIMIC-IV,eICU,hospital_death,demographic,18776,1000,1000,0.5768627516887601,0.6010122320193142,0.036601123699718636,0.0570638736349737
medication_only,prespecified conservative timing sensitivity,episode,MIMIC-III + MIMIC-IV,eICU,hospital_death,xgboost,18776,1000,1000,0.5754874176875207,0.5998052462936292,0.0381222236081484,0.05837098110405822
medication_only,prespecified conservative timing sensitivity,episode,MIMIC-III + MIMIC-IV,eICU,hospital_death,random_transformer,18776,1000,1000,0.5756173987558956,0.6004702775992234,0.03780218593336201,0.058393699091505206
medication_only,prespecified conservative timing sensitivity,episode,MIMIC-III + MIMIC-IV,eICU,hospital_death,semantic_transformer,18776,1000,1000,0.6238385748300569,0.6467159999466242,,
medication_only,prespecified conservative timing sensitivity,episode,MIMIC-III + MIMIC-IV,eICU,icu_death,demographic,18774,1000,1000,0.5424053606700083,0.572180089007744,0.054191574401406456,0.08266195574260753
medication_only,prespecified conservative timing sensitivity,episode,MIMIC-III + MIMIC-IV,eICU,icu_death,xgboost,18774,1000,1000,0.5431805929531665,0.5727008778689424,0.05411408364670737,0.08293225145539002
medication_only,prespecified conservative timing sensitivity,episode,MIMIC-III + MIMIC-IV,eICU,icu_death,random_transformer,18774,1000,1000,0.5438150679933919,0.5741314335930491,0.05288425674966602,0.08271729714444134
medication_only,prespecified conservative timing sensitivity,episode,MIMIC-III + MIMIC-IV,eICU,icu_death,semantic_transformer,18774,1000,1000,0.6111426195688388,0.6416397564856076,,
medication_only,prespecified conservative timing sensitivity,patient,MIMIC-III + MIMIC-IV,eICU,next_aki_progression,demographic,17491,1000,1000,0.4947862499353681,0.5210934270372902,0.005700980351933835,0.03716600919478679
medication_only,prespecified conservative timing sensitivity,patient,MIMIC-III + MIMIC-IV,eICU,next_aki_progression,xgboost,17491,1000,1000,0.5136269679292759,0.5394711362506465,-0.00890965838151034,0.012843799986995906
medication_only,prespecified conservative timing sensitivity,patient,MIMIC-III + MIMIC-IV,eICU,next_aki_progression,random_transformer,17491,1000,1000,0.5094933530817463,0.5362448866351361,-0.007800703077809693,0.01797373629717831
medication_only,prespecified conservative timing sensitivity,patient,MIMIC-III + MIMIC-IV,eICU,next_aki_progression,semantic_transformer,17491,1000,1000,0.515547388696398,0.5417436431867907,,
