mode,mode_class,uncertainty_unit,source_database,target_database,endpoint,model,n_clusters,bootstrap_reps_requested,bootstrap_reps_valid,auroc_lo,auroc_hi,delta_semantic_minus_model_lo,delta_semantic_minus_model_hi
label_proximal_excluded,post-hoc label-proximity sensitivity,episode,MIMIC-III + MIMIC-IV,eICU,next_aki_progression,demographic,18776,1000,1000,0.49495071265111196,0.5209218880690067,-0.01887649206236227,0.015010270249515446
label_proximal_excluded,post-hoc label-proximity sensitivity,episode,MIMIC-III + MIMIC-IV,eICU,next_aki_progression,xgboost,18776,1000,1000,0.5129858006328932,0.5377646943111308,-0.0337924018297703,-0.006427817083319501
label_proximal_excluded,post-hoc label-proximity sensitivity,episode,MIMIC-III + MIMIC-IV,eICU,next_aki_progression,random_transformer,18776,1000,1000,0.5182580269999025,0.5452974435616196,-0.03955029728143075,-0.012051648252425202
label_proximal_excluded,post-hoc label-proximity sensitivity,episode,MIMIC-III + MIMIC-IV,eICU,next_aki_progression,semantic_transformer,18776,1000,1000,0.49273999062664087,0.5193208027629006,,
label_proximal_excluded,post-hoc label-proximity sensitivity,episode,MIMIC-III + MIMIC-IV,eICU,next_aki_stage2plus,demographic,18776,1000,1000,0.5186279636194469,0.5351710635440369,-0.01778112675757257,0.00026162048631215933
label_proximal_excluded,post-hoc label-proximity sensitivity,episode,MIMIC-III + MIMIC-IV,eICU,next_aki_stage2plus,xgboost,18776,1000,1000,0.5205459565194288,0.5373203700635643,-0.01959117018862814,-0.0012343391239013786
label_proximal_excluded,post-hoc label-proximity sensitivity,episode,MIMIC-III + MIMIC-IV,eICU,next_aki_stage2plus,random_transformer,18776,1000,1000,0.5183777684086335,0.535213201492413,-0.017517901528949095,0.0005992030956046135
label_proximal_excluded,post-hoc label-proximity sensitivity,episode,MIMIC-III + MIMIC-IV,eICU,next_aki_stage2plus,semantic_transformer,18776,1000,1000,0.510109666835497,0.5264189236164617,,
label_proximal_excluded,post-hoc label-proximity sensitivity,episode,MIMIC-III + MIMIC-IV,eICU,next_aki_stage3,demographic,18776,1000,1000,0.5330939993734346,0.5545280645976234,0.011908507502911359,0.03251844842071292
label_proximal_excluded,post-hoc label-proximity sensitivity,episode,MIMIC-III + MIMIC-IV,eICU,next_aki_stage3,xgboost,18776,1000,1000,0.5442798382288034,0.565395224052175,0.000938372827333009,0.020212003819241993
