mode,mode_class,source_database,target_database,model,endpoint,n,event_rate,auroc,average_precision,brier
label_proximal_excluded,post-hoc label-proximity sensitivity,MIMIC-III + MIMIC-IV,eICU,demographic,next_aki_progression,18776,0.10827652322113336,0.5080965626030909,0.11022476883728997,0.0984971895813942
label_proximal_excluded,post-hoc label-proximity sensitivity,MIMIC-III + MIMIC-IV,eICU,demographic,next_aki_stage2plus,18776,0.44194716659565403,0.5269573819488236,0.46284608563477103,0.27251681685447693
label_proximal_excluded,post-hoc label-proximity sensitivity,MIMIC-III + MIMIC-IV,eICU,demographic,next_aki_stage3,18776,0.1572219855134214,0.543800979987176,0.1736551807279341,0.14412946999073029
label_proximal_excluded,post-hoc label-proximity sensitivity,MIMIC-III + MIMIC-IV,eICU,demographic,hospital_death,18776,0.12457392415850022,0.5889069808641143,0.15734538311844506,0.10806354135274887
label_proximal_excluded,post-hoc label-proximity sensitivity,MIMIC-III + MIMIC-IV,eICU,demographic,icu_death,18774,0.07750079897730905,0.5578362678575007,0.09025884497012485,0.07148023694753647
label_proximal_excluded,post-hoc label-proximity sensitivity,MIMIC-III + MIMIC-IV,eICU,xgboost,next_aki_progression,18776,0.10827652322113336,0.5257018967247077,0.1143427433742113,0.2586516245965468
label_proximal_excluded,post-hoc label-proximity sensitivity,MIMIC-III + MIMIC-IV,eICU,xgboost,next_aki_stage2plus,18776,0.44194716659565403,0.5286174613420648,0.46271379806112956,0.2515548137915048
label_proximal_excluded,post-hoc label-proximity sensitivity,MIMIC-III + MIMIC-IV,eICU,xgboost,next_aki_stage3,18776,0.1572219855134214,0.5551112628479673,0.1781669972544086,0.21007012546106393
label_proximal_excluded,post-hoc label-proximity sensitivity,MIMIC-III + MIMIC-IV,eICU,xgboost,hospital_death,18776,0.12457392415850022,0.5878342594730503,0.1565439470357347,0.2122694630912655
label_proximal_excluded,post-hoc label-proximity sensitivity,MIMIC-III + MIMIC-IV,eICU,xgboost,icu_death,18774,0.07750079897730905,0.5578479349200142,0.09030442850843298,0.2084529466551049
label_proximal_excluded,post-hoc label-proximity sensitivity,MIMIC-III + MIMIC-IV,eICU,random_transformer,next_aki_progression,18776,0.10827652322113336,0.5313262160436534,0.12205604076180135,0.09970778971910477
label_proximal_excluded,post-hoc label-proximity sensitivity,MIMIC-III + MIMIC-IV,eICU,random_transformer,next_aki_stage2plus,18776,0.44194716659565403,0.5266421821690603,0.4655389943955627,0.2644319236278534
label_proximal_excluded,post-hoc label-proximity sensitivity,MIMIC-III + MIMIC-IV,eICU,random_transformer,next_aki_stage3,18776,0.1572219855134214,0.5520382596947178,0.17644567591262217,0.14789338409900665
label_proximal_excluded,post-hoc label-proximity sensitivity,MIMIC-III + MIMIC-IV,eICU,random_transformer,hospital_death,18776,0.12457392415850022,0.5860669430480971,0.15576485800340115,0.10864077508449554
label_proximal_excluded,post-hoc label-proximity sensitivity,MIMIC-III + MIMIC-IV,eICU,random_transformer,icu_death,18774,0.07750079897730905,0.5549677181507547,0.09015388993494805,0.07147801667451859
label_proximal_excluded,post-hoc label-proximity sensitivity,MIMIC-III + MIMIC-IV,eICU,semantic_transformer,next_aki_progression,18776,0.10827652322113336,0.5058007371002247,0.11429533968285915,0.09911093860864639
label_proximal_excluded,post-hoc label-proximity sensitivity,MIMIC-III + MIMIC-IV,eICU,semantic_transformer,next_aki_stage2plus,18776,0.44194716659565403,0.5184569307975379,0.46455595129139043,0.2832244634628296
label_proximal_excluded,post-hoc label-proximity sensitivity,MIMIC-III + MIMIC-IV,eICU,semantic_transformer,next_aki_stage3,18776,0.1572219855134214,0.5656432949093141,0.22054749179713662,0.14263910055160522
label_proximal_excluded,post-hoc label-proximity sensitivity,MIMIC-III + MIMIC-IV,eICU,semantic_transformer,hospital_death,18776,0.12457392415850022,0.6578731837937553,0.22602330462978365,0.11029931902885437
label_proximal_excluded,post-hoc label-proximity sensitivity,MIMIC-III + MIMIC-IV,eICU,semantic_transformer,icu_death,18774,0.07750079897730905,0.6585101994531958,0.162211209406974,0.07433108985424042
