source_database,target_database,model,endpoint,n,event_rate,auroc,average_precision,brier,ece_10bin,calibration_intercept,calibration_slope,source_selected_threshold,sensitivity,specificity,ppv,npv,direction,endpoint_label
MIMIC-III,MIMIC-IV,kdigo_lookup,next_aki_progression,29267,0.1412854067721324,0.5801932375052468,0.1638680127412537,0.1188149664257147,0.0201752248165037,-0.607420139882444,0.6996180391349462,0.1885801190084585,0.9917775090689238,0.1682317364316409,0.1640071985602879,0.992022524636321,M-III → M-IV,AKI progression
MIMIC-III,MIMIC-IV,kdigo_lookup,next_aki_stage2_onset,25005,0.1640071985602879,0.5,0.1640071985602879,0.1377165415615224,0.0246516567562551,-0.5207087858836702,0.7595830179004934,0.1886588553165431,1.0,0.0,0.1640071985602879,0.0,M-III → M-IV,Stage-2 onset
MIMIC-III,MIMIC-IV,kdigo_lookup,next_aki_stage3_onset,28114,0.0058689620829479,0.4519806097036051,0.0053687724258929,0.0058436984626365,0.0030298886825638,-0.145134080661322,0.8506895576258862,0.0028383828305597,1.0,0.0,0.0058689620829479,0.0,M-III → M-IV,Stage-3 onset
MIMIC-III,MIMIC-IV,kdigo_lookup,hospital_death,29267,0.1215703693579799,0.4878659103048341,0.1180128352106002,0.1071761883073659,0.0194911229439422,-0.4639173043540622,0.8378949181074564,0.1409690318083515,1.0,0.0,0.1215703693579799,0.0,M-III → M-IV,Hospital death
MIMIC-III,MIMIC-IV,kdigo_lookup,icu_death,29262,0.0815733716082291,0.4884636198010541,0.0789837846004412,0.0751644538689964,0.0155923843888827,-0.4056191975769168,0.9041061017551588,0.0971280051124846,1.0,0.0,0.0815733716082291,0.0,M-III → M-IV,ICU death
MIMIC-III,MIMIC-IV,state_logistic,next_aki_progression,29267,0.1412854067721324,0.6406455847827222,0.2030563227559312,0.1176895076092891,0.0181156685898832,-0.1611953727305517,0.9730419811561202,0.1465335482358932,0.7917775090689239,0.4052204360974057,0.1796729228405224,0.9220461747397012,M-III → M-IV,AKI progression
MIMIC-III,MIMIC-IV,state_logistic,next_aki_stage2_onset,25005,0.1640071985602879,0.5740895806078307,0.2042733896893828,0.1362797084933416,0.0199040291385814,-0.1689331104278644,0.9775897005209804,0.1617014110088348,0.792489636673982,0.2963547646383467,0.1809677598975444,0.8792222537609992,M-III → M-IV,Stage-2 onset
MIMIC-III,MIMIC-IV,state_logistic,next_aki_stage3_onset,28114,0.0058689620829479,0.7627023030042815,0.0453188070179409,0.00582242381265,0.0034285186873748,6.33933997273128,1.99456576208692,0.0067523688776418,0.2606060606060606,0.9710544205517192,0.0504694835680751,0.9955249064632088,M-III → M-IV,Stage-3 onset
MIMIC-III,MIMIC-IV,state_logistic,hospital_death,29267,0.1215703693579799,0.7236226266696499,0.3325043532317253,0.0958692134243106,0.0147083944713575,-0.1507769798071224,0.993210596432789,0.1421142995357513,0.5986509274873525,0.7281496752110156,0.2335782432284241,0.9291244788564622,M-III → M-IV,Hospital death
MIMIC-III,MIMIC-IV,state_logistic,icu_death,29262,0.0815733716082291,0.7614717861283504,0.3028315307683001,0.066646520435429,0.0141801692183667,-0.1349028123989895,1.0324740597620712,0.1150111082196235,0.598659405111018,0.7893581395348838,0.2015514809590973,0.9567923507126104,M-III → M-IV,ICU death
MIMIC-III,MIMIC-IV,state_xgboost,next_aki_progression,29267,0.1412854067721324,0.652195334871299,0.2091044649561455,0.1171849798174208,0.0177280981200311,-0.0586843426516376,1.044954829023819,0.1590746876597404,0.7673518742442563,0.4518939996816807,0.187219730941704,0.9219092458803474,M-III → M-IV,AKI progression
MIMIC-III,MIMIC-IV,state_xgboost,next_aki_stage2_onset,25005,0.1640071985602879,0.5897099365215078,0.2102612386195416,0.1356551204630171,0.019320724610745,0.0639040621988528,1.1369396375345433,0.1713018774986267,0.7627407949280663,0.3579697665518561,0.1890144419602392,0.8849337748344371,M-III → M-IV,Stage-2 onset
