source_database,model,endpoint,auroc,lo,hi,uncertainty_unit
MIMIC-III,semantic_transformer,next_aki_progression,0.4953042169666665,0.4805991032372278,0.5229783735267174,hospital
MIMIC-III,semantic_transformer,hospital_death,0.632548679850668,0.6156574912841676,0.6483223385271047,hospital
MIMIC-III,semantic_transformer,icu_death,0.6204510311758593,0.592862719828433,0.6406936831370219,hospital
MIMIC-III,state_logistic,next_aki_progression,0.7135219220319192,0.6941944346566356,0.7286750701945457,hospital
MIMIC-III,state_logistic,hospital_death,0.7350322111635489,0.7209730151276539,0.7495286543457597,hospital
MIMIC-III,state_logistic,icu_death,0.764604949890165,0.7429542449765787,0.7855089684367312,hospital
MIMIC-III,state_xgboost,next_aki_progression,0.7297779171884652,0.707876829361992,0.7466417167945222,hospital
MIMIC-III,state_xgboost,hospital_death,0.7725505260696762,0.7603441144218677,0.7833855444996668,hospital
MIMIC-III,state_xgboost,icu_death,0.7982527581788985,0.7849154749342209,0.8149594845500844,hospital
MIMIC-IV,semantic_transformer,next_aki_progression,0.5102371228313429,0.4966147011416605,0.5339210929838353,hospital
MIMIC-IV,semantic_transformer,hospital_death,0.6611127675408167,0.6476012427206264,0.6754517639087855,hospital
MIMIC-IV,semantic_transformer,icu_death,0.6621519698386592,0.6398622327927928,0.6807050997129412,hospital
MIMIC-IV,state_logistic,next_aki_progression,0.7236223320997015,0.702095368000243,0.7397124866988055,hospital
MIMIC-IV,state_logistic,hospital_death,0.7329628358298517,0.7181230395308537,0.7490663398315294,hospital
MIMIC-IV,state_logistic,icu_death,0.7683936895478002,0.7459108627219165,0.7911798156071124,hospital
MIMIC-IV,state_xgboost,next_aki_progression,0.7379638785106954,0.7160153590888996,0.7541198645963008,hospital
MIMIC-IV,state_xgboost,hospital_death,0.7759188743588662,0.7650712969983725,0.7869350902802744,hospital
MIMIC-IV,state_xgboost,icu_death,0.8046673012120054,0.7908294522601805,0.8223666450415631,hospital
