endpoint,auroc,auroc_lo,auroc_hi,mode
next_aki_progression,0.5137190457669443,0.5016730098935895,0.5368918894538167,all_concepts
next_aki_stage2plus,0.5251836866381793,0.5158960466621763,0.5361534306838446,all_concepts
next_aki_stage3,0.5732349223059344,0.5512129754090496,0.6019792546578773,all_concepts
hospital_death,0.6485974808968482,0.6324113140614719,0.6646036589796224,all_concepts
icu_death,0.6455929159501245,0.6312206402961416,0.6639949562981061,all_concepts
next_aki_progression,0.5128725342016203,0.4999792325171349,0.5245442853408385,precise_time
next_aki_stage2plus,0.5171580392638024,0.5080625316982623,0.5256698642967552,precise_time
next_aki_stage3,0.5330456027481155,0.5137393906766716,0.5512774109601695,precise_time
hospital_death,0.6351314877021603,0.6184114922791444,0.6492144155828853,precise_time
icu_death,0.6130015323932617,0.5917276079976735,0.6319294701519199,precise_time
next_aki_progression,0.5285136964977823,0.5144847205964105,0.5441578277073308,medication_only
next_aki_stage2plus,0.5058268052917725,0.4936761618207418,0.5160237695828592,medication_only
next_aki_stage3,0.5371558990014824,0.5227140782116176,0.5510392337698584,medication_only
hospital_death,0.635570517437861,0.6154642964931888,0.6536722436305903,medication_only
icu_death,0.6264946687675315,0.5978251898634467,0.6515206628707034,medication_only
next_aki_progression,0.5058007371002247,0.4897506400774745,0.5331489108400832,label_proximal_excluded
next_aki_stage2plus,0.5184569307975379,0.5064541257264972,0.5282661751856051,label_proximal_excluded
next_aki_stage3,0.5656432949093141,0.5482239822849403,0.5858717513196244,label_proximal_excluded
hospital_death,0.6578731837937553,0.6414964289320122,0.6725247081700069,label_proximal_excluded
icu_death,0.6585101994531958,0.6337625654738017,0.6796019191032401,label_proximal_excluded
