source_database,target_database,model,endpoint,n,event_rate,auroc,average_precision,brier,ece_10bin,calibration_intercept,calibration_slope,source_selected_threshold,sensitivity,specificity,ppv,npv,patient_auroc_lo,patient_auroc_hi,hospital_auroc_lo,hospital_auroc_hi
MIMIC-III,eICU,kdigo_lookup,next_aki_progression,18776,0.1082765232211333,0.6708978730831385,0.1560082912935573,0.0925530229680213,0.0242428456751032,-0.822912163528578,0.5861278729419298,0.1885801190084585,0.9611411706837186,0.3741862270799737,0.1571750321750321,0.987547288776797,0.6655067467515038,0.6760155313422584,0.6518546954350518,0.6872675846115165
MIMIC-III,eICU,kdigo_lookup,next_aki_stage2_onset,12432,0.1571750321750321,0.5,0.1571750321750321,0.1334622725554157,0.0314838231415109,-0.5369051114348267,0.7832093788332168,0.1886588553165431,1.0,0.0,0.1571750321750321,0.0,0.5,0.5,0.5,0.5
MIMIC-III,eICU,kdigo_lookup,next_aki_stage3_onset,15989,0.0103195947213709,0.3705024205656157,0.0085464504721493,0.0102690642926746,0.0074806081881674,-0.1290686541588041,0.7565184584401036,0.0028383828305597,1.0,0.0,0.0103195947213709,0.0,0.3317648024261922,0.4101567332331957,0.3360273147363896,0.4056569371508931
MIMIC-III,eICU,kdigo_lookup,hospital_death,18776,0.1245739241585002,0.4466173368808414,0.1143736368793693,0.1093458537946885,0.0165803331274496,-0.45779461273811,0.8261494906635716,0.1409690318083515,1.0,0.0,0.1245739241585002,0.0,0.4380168078698167,0.4557513224087577,0.4329135140402217,0.4591536907273512
MIMIC-III,eICU,kdigo_lookup,icu_death,18774,0.077500798977309,0.4420435693353882,0.0706372535285772,0.071887496777806,0.0196953475284985,-0.4150413774903482,0.9248701668694028,0.0971280051124846,1.0,0.0,0.077500798977309,0.0,0.4311360407253717,0.4520686545361,0.4261286364150016,0.456471398263049
MIMIC-III,eICU,state_logistic,next_aki_progression,18776,0.1082765232211333,0.7135219220319192,0.1893091100628595,0.0917595315028638,0.0194391139908358,-0.1840516388982675,0.9680130134157048,0.1465335482358932,0.7073290703394,0.5912918831750582,0.1736505252988769,0.9433063363506432,0.7036743427612442,0.7232291640458007,0.6941944346566356,0.7286750701945457
MIMIC-III,eICU,state_logistic,next_aki_stage2_onset,12432,0.1571750321750321,0.5697049264208696,0.1898535583990647,0.1321384206640247,0.0252580242965638,-0.4885611875279748,0.7741069189401188,0.1617014110088348,0.7139201637666326,0.3741171979385378,0.1754055073557148,0.8751953561062737,0.5545949810145768,0.5844026935426827,0.5477676939965337,0.5865808816555113
MIMIC-III,eICU,state_logistic,next_aki_stage3_onset,15989,0.0103195947213709,0.6821485200845666,0.0295429812663825,0.0102358634308136,0.0070222165166433,2.109569143232965,1.1733843860592412,0.0067523688776418,0.2424242424242424,0.9242922143579372,0.0323101777059773,0.9915259982374076,0.6424741626601511,0.7272982159903226,0.6380141329051742,0.7289978369118275
MIMIC-III,eICU,state_logistic,hospital_death,18776,0.1245739241585002,0.7350322111635489,0.3476158964785398,0.0963310609512308,0.0075439149798554,0.041251064706838,0.9795425322634936,0.1421142995357513,0.5352714835399743,0.7999634969885016,0.2757709251101322,0.923644282101714,0.7238735451920723,0.7472253647666743,0.7209730151276539,0.7495286543457597
MIMIC-III,eICU,state_logistic,icu_death,18774,0.077500798977309,0.764604949890165,0.3075880020682471,0.0625818969605903,0.0048450667926406,-0.0153216689510396,1.009526567774401,0.1150111082196235,0.5415807560137457,0.8475662567122814,0.2298716452742123,0.9565359051218558,0.7505082341655969,0.7791956740972652,0.7429542449765787,0.7855089684367312
