edge_id,source,source_label,source_type,target,target_label,target_type,predicate,layer,assertion_count,source_count,source_ids,population,care_setting
edge:6c3bbdaddc37,concept:3f02509e7e1a,Acute kidney injury,clinical_concept,relation:1948b8a73d1c,Association,relation,Participates in relation,relation_context,2488,0,,,
edge:9dc574b2c060,concept:3f02509e7e1a,Acute kidney injury,clinical_concept,population:a0247bcb3f69,Non-neonatal pediatric,population,Observed in population,population_context,2424,0,,,
edge:0f54ed5d3ca3,concept:3f02509e7e1a,Acute kidney injury,clinical_concept,setting:60f1e913db61,Not specified,care_setting,Observed in care setting,care_setting_context,2063,0,,,
edge:01c0676ab6ed,concept:3f02509e7e1a,Acute kidney injury,clinical_concept,setting:a2ffebdb6db9,General inpatient,care_setting,Observed in care setting,care_setting_context,1189,0,,,
edge:fad48e257b2e,concept:3f02509e7e1a,Acute kidney injury,clinical_concept,population:a6dd3918708d,Neonatal,population,Observed in population,population_context,1063,0,,,
edge:acb20f38e067,concept:3f02509e7e1a,Acute kidney injury,clinical_concept,relation:a62d286204b7,Risk factor,relation,Participates in relation,relation_context,752,0,,,
edge:1ef967498e2e,concept:3f02509e7e1a,Acute kidney injury,clinical_concept,population:60f1e913db61,Not specified,population,Observed in population,population_context,725,0,,,
edge:f1355537a600,concept:3f02509e7e1a,Acute kidney injury,clinical_concept,setting:009f0c0461ec,PICU,care_setting,Observed in care setting,care_setting_context,629,0,,,
edge:08983a50b9fc,concept:fbfb66c84913,Mortality,clinical_concept,population:a0247bcb3f69,Non-neonatal pediatric,population,Observed in population,population_context,228,0,,,
edge:740194998f4c,concept:fbfb66c84913,Mortality,clinical_concept,relation:1948b8a73d1c,Association,relation,Participates in relation,relation_context,170,0,,,
edge:a830f3ae2d5c,guideline:layer,Guideline evidence layer,guideline,guideline_topic:689257f1c8ff,Other indexed topic,guideline_topic,Indexed normative topic,guideline_index,136,15,指南候选_000001;指南候选_000002;指南候选_000003;指南候选_000005;指南候选_000007;指南候选_000008;指南候选_000009;指南候选_000010;指南候选_000016;指南候选_000017;指南候选_000018;指南候选_000019;指南候选_000020;指南候选_000021;指南候选_000023,,
